ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
4,11,2,2,3,3.114
4,11,2,2,3,3.114
4,11,2,2,3,3.114
4,11,2,2,3,3.114
4,12,2,2,1,1.27
4,12,2,2,1,1.27
4,12,2,2,1,1.27
4,12,2,2,1,1.27
4,13,2,2,4,5.306
4,13,2,2,4,5.306
4,13,2,2,4,5.306
4,13,2,2,4,5.306
7,13,2,2,2,0.896
7,13,2,2,2,0.896
7,13,2,2,2,0.896
7,13,2,2,2,0.896
7,13,2,2,2,0.896
7,13,2,2,2,0.896
10,13,2,2,2,1.184
10,13,2,2,2,1.184
10,13,2,2,2,1.184
10,13,2,2,2,1.184
10,13,2,2,2,1.184
10,13,2,2,2,1.184
11,4,2,2,3,3.114
11,4,2,2,3,3.114
11,4,2,2,3,3.114
11,4,2,2,3,3.114
11,13,2,2,2,2.235
11,13,2,2,2,2.235
11,13,2,2,2,2.235
11,13,2,2,2,2.235
12,4,2,2,2,1.27
12,4,2,2,2,1.27
12,4,2,2,2,1.27
12,4,2,2,2,1.27
13,7,2,2,2,0.896
13,7,2,2,2,0.896
13,7,2,2,2,0.896
13,7,2,2,2,0.896
13,7,2,2,2,0.896
13,7,2,2,2,0.896
13,10,2,2,2,1.184
13,10,2,2,2,1.184
13,10,2,2,2,1.184
13,10,2,2,2,1.184
13,10,2,2,2,1.184
13,10,2,2,2,1.184
13,11,2,2,2,2.235
13,11,2,2,2,2.235
13,11,2,2,2,2.235
13,11,2,2,2,2.235
13,17,2,2,3,1.871
13,17,2,2,3,1.871
13,17,2,2,3,1.871
13,17,2,2,3,1.871
17,13,2,2,3,1.871
17,13,2,2,3,1.871
17,13,2,2,3,1.871
17,13,2,2,3,1.871
1,15,3,3,1,0.436
1,15,3,3,1,0.436
2,8,3,3,1,0.498
2,8,3,3,1,0.498
2,8,3,3,1,0.498
2,8,3,3,1,0.498
2,14,3,3,1,0.701
2,14,3,3,1,0.701
2,14,3,3,1,0.701
2,14,3,3,1,0.701
3,14,3,3,1,0.405
3,14,3,3,1,0.405
3,14,3,3,1,0.405
3,14,3,3,1,0.405
3,16,3,3,1,0.38
3,16,3,3,1,0.38
3,16,3,3,1,0.38
3,16,3,3,1,0.38
5,9,3,3,1,0.617
5,9,3,3,1,0.617
5,9,3,3,1,0.617
5,9,3,3,1,0.617
5,15,3,3,4,2.197
5,15,3,3,4,2.197
8,2,3,3,1,0.498
8,2,3,3,1,0.498
8,2,3,3,1,0.498
8,2,3,3,1,0.498
8,10,3,3,2,1.315
8,10,3,3,2,1.315
8,10,3,3,2,1.315
8,10,3,3,2,1.315
8,10,3,3,2,1.315
8,10,3,3,2,1.315
9,5,3,3,1,0.617
9,5,3,3,1,0.617
9,5,3,3,1,0.617
9,5,3,3,1,0.617
9,16,3,3,1,0.586
9,16,3,3,1,0.586
9,16,3,3,1,0.586
9,16,3,3,1,0.586
10,8,3,3,2,1.315
10,8,3,3,2,1.315
10,8,3,3,2,1.315
10,8,3,3,2,1.315
10,8,3,3,2,1.315
10,8,3,3,2,1.315
14,2,3,3,1,0.701
14,2,3,3,1,0.701
14,2,3,3,1,0.701
14,2,3,3,1,0.701
14,3,3,3,1,0.405
14,3,3,3,1,0.405
14,3,3,3,1,0.405
14,3,3,3,1,0.405
15,1,3,3,1,0.436
15,1,3,3,1,0.436
15,5,3,3,4,2.197
15,5,3,3,4,2.197
16,3,3,3,1,0.38
16,3,3,3,1,0.38
16,3,3,3,1,0.38
16,3,3,3,1,0.38
16,9,3,3,1,0.586
16,9,3,3,1,0.586
16,9,3,3,1,0.586
16,9,3,3,1,0.586
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,437,5,5,1,0.555
1,437,5,5,1,0.555
1,1080,5,5,1,0.332
1,1080,5,5,1,0.332
1,1202,5,5,1,0.309
1,1202,5,5,1,0.309
2,423,5,5,2,0.359
2,423,5,5,2,0.359
2,1153,5,5,1,0.334
