nodeid,lat,lon,layer
1,52.5495,-2.0306,5
1,52.5495,-2.0306,3
2,52.51179,-1.98808,5
2,52.51179,-1.98808,3
3,52.51868,-1.99973,5
3,52.51868,-1.99973,3
4,52.52466,-2.04948,2
4,52.52466,-2.04948,5
5,52.53052,-2.01092,5
5,52.53052,-2.01092,3
6,52.55294,-1.97621,5
6,52.55294,-1.97621,2
7,52.49639,-1.97064,4
7,52.49639,-1.97064,2
7,52.49639,-1.97064,5
8,52.50872,-1.98269,5
8,52.50872,-1.98269,3
9,52.52514,-2.00859,5
9,52.52514,-2.00859,3
10,52.50538,-1.96401,5
10,52.50538,-1.96401,2
10,52.50538,-1.96401,3
11,52.50867,-2.0116,2
11,52.50867,-2.0116,5
12,52.53045,-2.0657,2
12,52.53045,-2.0657,5
13,52.50179,-1.98051,2
13,52.50179,-1.98051,5
14,52.51662,-1.99477,5
14,52.51662,-1.99477,3
15,52.54855,-2.02433,3
16,52.52047,-2.00454,5
16,52.52047,-2.00454,3
17,52.49388,-2.00496,2
17,52.49388,-2.00496,5
18,52.53572,-2.03861,5
19,52.53528,-2.03885,5
20,52.54538,-2.06813,5
21,52.5459,-2.06859,5
22,52.54007,-2.00425,5
23,52.48791,-1.96227,5
24,52.49037,-2.03722,5
25,52.49928,-1.99281,5
26,52.49433,-2.04121,5
27,52.54103,-2.04881,5
28,52.55758,-1.95494,5
29,52.55748,-1.95625,5
30,52.49448,-2.06133,5
31,52.49449,-2.06105,5
32,52.49678,-2.03223,5
33,52.49701,-2.03099,5
34,52.49032,-2.09139,5
35,52.49003,-2.09152,5
36,52.52527,-2.08757,5
37,52.52525,-2.08777,5
38,52.50886,-2.08141,5
39,52.48645,-1.98493,5
40,52.49471,-1.97632,5
41,52.49462,-1.97608,5
42,52.48784,-2.05,5
43,52.48328,-1.99386,5
44,52.48345,-1.99383,5
45,52.48559,-2.06307,5
46,52.48895,-1.99464,5
47,52.49346,-1.95266,5
48,52.49072,-2.02538,5
49,52.49164,-2.08696,5
50,52.49232,-2.08719,5
51,52.48792,-2.01834,5
52,52.54976,-1.99274,5
53,52.51122,-2.09632,5
54,52.54986,-2.01897,5
55,52.48274,-1.99617,5
56,52.48266,-1.99599,5
57,52.54385,-2.06768,5
58,52.52924,-2.00705,5
59,52.49019,-1.99963,5
60,52.56381,-2.01587,5
61,52.50198,-1.96813,5
62,52.54375,-1.98143,5
63,52.54368,-1.98121,5
64,52.51669,-2.08985,5
65,52.50251,-2.03212,5
66,52.50334,-2.03349,5
67,52.54556,-2.04872,5
68,52.48953,-2.00084,5
69,52.52301,-2.08792,5
70,52.52304,-2.08771,5
71,52.53774,-1.98285,5
72,52.53843,-1.98278,5
73,52.54763,-1.97462,5
74,52.54764,-1.97433,5
75,52.53027,-2.10356,5
76,52.53012,-2.1037,5
77,52.53779,-2.07363,5
78,52.53792,-2.07316,5
79,52.51007,-1.96352,5
80,52.51018,-1.96636,5
81,52.53336,-2.09524,5
82,52.55276,-2.01931,5
83,52.52777,-2.04256,5
84,52.56541,-2.01413,5
85,52.53405,-2.0558,5
86,52.5423,-1.98054,5
87,52.5457,-2.00093,5
88,52.49386,-1.99976,5
89,52.49469,-2.02285,5
90,52.49434,-2.02311,5
91,52.50371,-2.03185,5
92,52.53008,-2.07972,5
93,52.53013,-2.07957,5
94,52.51041,-2.0084,5
95,52.50943,-2.08175,5
96,52.50932,-2.08242,5
97,52.50994,-2.08035,5
98,52.48534,-1.98639,5
99,52.502,-2.07572,5
100,52.50154,-2.07609,5
101,52.52314,-2.05922,5
102,52.52349,-2.05872,5
103,52.51083,-2.08783,5
104,52.51069,-2.08755,5
105,52.5107,-2.08769,5
106,52.53208,-1.98744,5
107,52.51898,-2.08775,5
108,52.51956,-2.08793,5
109,52.48804,-2.05168,5
110,52.52624,-2.07363,5
111,52.54128,-1.99127,5
112,52.5414,-1.9909,5
113,52.50578,-2.04377,5
114,52.50551,-2.04413,5
115,52.50222,-2.03829,5
116,52.5502,-2.07231,5
117,52.54928,-1.97412,5
118,52.53981,-2.07144,5
119,52.54033,-2.07108,5
120,52.49134,-2.0581,5
121,52.48778,-1.95931,5
122,52.48795,-1.95896,5
123,52.48866,-2.05605,5
124,52.52853,-2.03109,5
125,52.52868,-2.03127,5
126,52.50369,-2.07263,5
127,52.48731,-1.99795,5
128,52.48746,-1.99842,5
129,52.55668,-2.02333,5
130,52.55691,-2.0227,5
131,52.55176,-2.02379,5
132,52.55185,-2.0238,5
133,52.55186,-2.0236,5
134,52.55198,-2.02376,5
135,52.55207,-2.02385,5
136,52.55211,-2.02385,5
137,52.55195,-2.02388,5
138,52.51288,-2.0842,5
139,52.4899,-1.9668,5
140,52.49739,-1.99797,5
141,52.49748,-1.99814,5
142,52.56205,-2.01953,5
143,52.53952,-1.99965,5
144,52.53954,-1.99907,5
145,52.50228,-1.98596,5
146,52.5178,-2.1092,5
147,52.51897,-1.98867,5
148,52.51946,-1.98797,5
149,52.5442,-2.06143,5
150,52.51204,-1.98135,5
151,52.54483,-1.98337,5
152,52.54471,-1.98344,5
153,52.5597,-1.95347,5
154,52.55923,-1.95342,5
155,52.51688,-2.11871,5
156,52.51679,-2.11834,5
157,52.54525,-2.00338,5
158,52.54518,-2.0033,5
159,52.52948,-2.0762,5
160,52.52925,-2.07577,5
161,52.48873,-1.99175,5
162,52.48898,-1.99161,5
163,52.52119,-2.05428,5
164,52.51776,-2.09233,5
165,52.51775,-2.0925,5
166,52.54357,-2.03925,5
167,52.54352,-1.99124,5
168,52.53666,-1.98694,5
169,52.50232,-1.98935,5
170,52.50255,-1.98894,5
171,52.53777,-1.97831,5
172,52.5379,-1.97827,5
173,52.51366,-2.12832,5
174,52.54173,-2.06629,5
175,52.54161,-2.0665,5
176,52.49148,-2.04561,5
177,52.50243,-2.05177,5
178,52.51825,-2.04918,5
179,52.48559,-1.99745,5
180,52.48489,-1.9975,5
181,52.50027,-2.12115,5
182,52.5003,-2.12131,5
183,52.5369,-1.98313,5
184,52.50155,-2.11678,5
185,52.50148,-2.11654,5
186,52.50153,-2.11651,5
187,52.50519,-2.13738,5
188,52.5518,-2.07516,5
189,52.55194,-2.02375,5
190,52.55193,-2.02375,5
191,52.55195,-2.02375,5
192,52.49725,-2.10467,5
193,52.4973,-2.10475,5
194,52.54442,-2.04514,5
195,52.5142,-2.07417,5
196,52.5141,-2.07417,5
197,52.51808,-2.11846,5
198,52.51818,-2.11819,5
199,52.4978,-2.01871,5
200,52.49834,-2.01906,5
201,52.52633,-2.07427,5
202,52.52573,-2.07402,5
203,52.50796,-2.08675,5
204,52.50799,-2.08668,5
205,52.52916,-2.03069,5
206,52.52965,-2.03178,5
207,52.52552,-2.06844,5
208,52.48816,-1.99381,5
209,52.50052,-2.07207,5
210,52.52586,-2.05976,5
211,52.52566,-2.05945,5
212,52.4887,-2.01024,5
213,52.48876,-2.0101,5
214,52.49513,-2.0829,5
215,52.48773,-2.04987,5
216,52.50628,-2.04149,5
217,52.50631,-2.04087,5
218,52.48807,-2.0434,5
219,52.56223,-2.0253,5
220,52.56224,-2.0253,5
221,52.48988,-2.0843,5
222,52.48995,-2.08421,5
223,52.54279,-1.97133,5
224,52.50878,-2.13013,5
225,52.50894,-2.13022,5
226,52.5469,-1.99102,5
227,52.51232,-1.98252,5
228,52.49961,-2.02615,5
229,52.49964,-2.02578,5
230,52.52941,-2.06197,5
231,52.52933,-2.06153,5
232,52.54944,-2.0072,5
233,52.54075,-2.05985,5
234,52.54073,-2.05973,5
235,52.49029,-2.03155,5
236,52.49132,-2.0323,5
237,52.5537,-2.0164,5
238,52.55357,-2.0165,5
239,52.51566,-1.9995,5
240,52.51601,-1.9987,5
241,52.50112,-2.09148,5
242,52.50166,-2.0912,5
243,52.54317,-2.00754,5
244,52.54318,-2.00739,5
245,52.4898,-1.97652,5
246,52.4896,-1.9766,5
247,52.52604,-1.9869,5
248,52.52731,-1.98712,5
249,52.51014,-2.07115,5
250,52.51028,-2.07135,5
251,52.54835,-2.05108,5
252,52.53312,-2.07409,5
253,52.54911,-2.05088,5
254,52.48737,-1.99035,5
255,52.56116,-2.00696,5
256,52.56287,-2.00583,5
257,52.50252,-2.01741,5
258,52.50312,-2.01668,5
259,52.50318,-2.01696,5
260,52.5028,-2.01694,5
261,52.5026,-2.01706,5
262,52.50291,-2.01718,5
263,52.5024,-2.0175,5
264,52.52726,-2.0745,5
265,52.51318,-2.0776,5
266,52.51295,-2.07754,5
267,52.48978,-1.99514,5
268,52.50738,-2.07561,5
269,52.50732,-2.07522,5
270,52.48853,-1.98719,5
271,52.51147,-2.09637,5
272,52.55639,-2.02558,5
273,52.52178,-1.99973,5
274,52.52175,-1.99932,5
275,52.55069,-1.97609,5
276,52.53188,-2.08597,5
277,52.51058,-2.04712,5
278,52.48882,-2.05427,5
279,52.5134,-2.03791,5
280,52.51363,-2.03908,5
281,52.53247,-2.04545,5
282,52.53216,-2.04588,5
283,52.53803,-2.04175,5
284,52.54749,-2.00282,5
285,52.51541,-2.00903,5
286,52.51524,-2.00928,5
287,52.54703,-1.9487,5
288,52.51819,-2.10117,5
289,52.51775,-2.1004,5
290,52.4877,-2.02901,5
291,52.5544,-2.01431,5
292,52.55528,-2.01361,5
293,52.4985,-2.08927,5
294,52.49794,-2.0885,5
295,52.53373,-2.01639,5
296,52.48872,-1.97937,5
297,52.54754,-2.01214,5
298,52.54776,-2.01159,5
299,52.53396,-2.03957,5
300,52.53411,-2.03923,5
301,52.54286,-1.98438,5
302,52.55807,-2.00966,5
303,52.48897,-2.03216,5
304,52.48937,-2.03165,5
305,52.5095,-2.06686,5
306,52.50288,-2.03222,5
307,52.53797,-2.03975,5
308,52.53794,-2.0405,5
309,52.49836,-2.01529,5
310,52.55652,-2.01769,5
311,52.55667,-2.01819,5
312,52.50725,-2.03901,5
313,52.50754,-2.03909,5
314,52.48992,-2.06819,5
315,52.53013,-2.07664,5
316,52.5301,-2.07637,5
317,52.50199,-2.00174,5
318,52.50245,-2.00382,5
319,52.51025,-2.0868,5
320,52.52991,-2.02892,5
321,52.4874,-1.99099,5
322,52.50882,-2.07746,5
323,52.50862,-2.07752,5
324,52.54038,-2.01256,5
325,52.4987,-1.97696,5
326,52.49916,-1.97804,5
327,52.51695,-1.97561,5
328,52.50639,-2.04464,5
329,52.53393,-2.00616,5
330,52.54355,-1.97679,5
331,52.5433,-1.97728,5
332,52.51444,-2.05835,5
333,52.51422,-2.05955,5
334,52.54108,-2.01216,5
335,52.5315,-2.04854,5
336,52.53167,-2.04822,5
337,52.50363,-1.99144,5
338,52.50436,-1.99129,5
339,52.5168,-2.10235,5
340,52.51696,-2.10217,5
341,52.49367,-2.03366,5
342,52.49358,-2.03336,5
343,52.51988,-2.09783,5
344,52.52006,-2.09784,5
345,52.49162,-1.97978,5
346,52.49098,-1.98012,5
347,52.50968,-2.10967,5
348,52.50984,-2.11011,5
349,52.53375,-2.02074,5
350,52.53351,-2.02064,5
351,52.50946,-2.11608,5
352,52.49963,-2.10241,5
353,52.49976,-2.10215,5
354,52.5119,-2.00585,5
355,52.4872,-2.07274,5
356,52.53953,-2.06061,5
357,52.52886,-2.02689,5
358,52.52898,-2.0269,5
359,52.54497,-2.05866,5
360,52.52385,-2.10852,5
361,52.51661,-2.09934,5
362,52.51653,-2.09925,5
363,52.53513,-1.98881,5
364,52.5019,-2.11192,5
365,52.5151,-2.05647,5
366,52.51199,-1.97937,5
367,52.51212,-1.97915,5
368,52.51248,-2.03578,5
369,52.51255,-2.03556,5
370,52.52178,-2.02544,5
371,52.49259,-2.03286,5
