ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,1,2.082
1,2,2,2,1,2.082
1,2,2,2,1,2.082
1,2,2,2,1,2.082
1,2,2,2,1,2.082
1,2,2,2,1,2.082
1,3,2,2,9,11.24
1,3,2,2,9,11.24
1,3,2,2,9,11.24
1,3,2,2,9,11.24
1,3,2,2,9,11.24
1,3,2,2,9,11.24
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
1,4,2,2,5,4.563
2,1,2,2,1,2.082
2,1,2,2,1,2.082
2,1,2,2,1,2.082
2,1,2,2,1,2.082
2,1,2,2,1,2.082
2,1,2,2,1,2.082
2,3,2,2,7,9.242
2,3,2,2,7,9.242
2,3,2,2,7,9.242
2,3,2,2,7,9.242
2,4,2,2,2,2.507
2,4,2,2,2,2.507
2,4,2,2,2,2.507
2,4,2,2,2,2.507
2,4,2,2,2,2.507
2,4,2,2,2,2.507
3,1,2,2,9,11.24
3,1,2,2,9,11.24
3,1,2,2,9,11.24
3,1,2,2,9,11.24
3,1,2,2,9,11.24
3,1,2,2,9,11.24
3,4,2,2,4,6.751
3,4,2,2,4,6.751
3,4,2,2,4,6.751
3,4,2,2,4,6.751
3,4,2,2,4,6.751
3,4,2,2,4,6.751
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,1,2,2,5,4.563
4,2,2,2,4,2.507
4,2,2,2,4,2.507
4,2,2,2,4,2.507
4,2,2,2,4,2.507
4,2,2,2,4,2.507
4,2,2,2,4,2.507
4,3,2,2,5,6.751
4,3,2,2,5,6.751
4,3,2,2,5,6.751
4,3,2,2,5,6.751
4,3,2,2,5,6.751
4,3,2,2,5,6.751
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,4,4,4,3,4.563
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
1,367,4,4,5,1.943
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
4,1,4,4,3,4.563
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
267,368,4,4,5,2.186
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
367,341,4,4,5,2.085
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
368,1,4,4,5,1.845
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,14,5,5,8,2.334
1,14,5,5,8,2.334
1,14,5,5,8,2.334
1,24,5,5,2,0.686
1,24,5,5,2,0.686
1,24,5,5,2,0.686
1,29,5,5,1,0.65
1,29,5,5,1,0.65
1,29,5,5,1,0.65
1,34,5,5,5,0.959
1,34,5,5,5,0.959
1,34,5,5,5,0.959
1,92,5,5,2,0.722
1,92,5,5,2,0.722
1,92,5,5,2,0.722
1,146,5,5,1,0.479
1,146,5,5,1,0.479
1,146,5,5,1,0.479
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
1,367,5,5,5,1.943
