nodeid,lat,lon,layer
1,51.34432,-2.97168,4
1,51.34432,-2.97168,2
1,51.34432,-2.97168,5
2,51.34847,-2.9424,5
2,51.34847,-2.9424,2
3,51.39101,-2.82779,2
3,51.39101,-2.82779,5
4,51.35803,-2.90964,4
4,51.35803,-2.90964,2
4,51.35803,-2.90964,5
5,51.36756,-2.92869,5
6,51.36759,-2.92826,5
7,51.32418,-2.97654,5
8,51.32175,-2.96381,5
9,51.32172,-2.96143,5
10,51.322,-2.95941,5
11,51.3221,-2.95665,5
12,51.3219,-2.95724,5
13,51.32228,-2.96754,5
14,51.32341,-2.96817,5
15,51.32645,-2.96766,5
16,51.32664,-2.96753,5
17,51.36254,-2.88183,5
18,51.36238,-2.88172,5
19,51.30983,-2.96097,5
20,51.30741,-2.95782,5
21,51.30424,-2.9489,5
22,51.30417,-2.94899,5
23,51.34392,-2.98076,5
24,51.34545,-2.98141,5
25,51.33477,-2.98272,5
26,51.3383,-2.98179,5
27,51.34108,-2.98109,5
28,51.34275,-2.98082,5
29,51.34256,-2.98062,5
30,51.34047,-2.98102,5
31,51.33837,-2.98156,5
32,51.33546,-2.98232,5
33,51.32973,-2.88034,5
34,51.34029,-2.95945,5
35,51.34807,-2.97397,5
36,51.34181,-2.95763,5
37,51.34998,-2.97383,5
38,51.35529,-2.99064,5
39,51.37282,-2.82805,5
40,51.37578,-2.83548,5
41,51.37655,-2.84147,5
42,51.37298,-2.82786,5
43,51.37554,-2.85251,5
44,51.37588,-2.86039,5
45,51.37676,-2.84133,5
46,51.37577,-2.85246,5
47,51.34819,-2.95992,5
48,51.35315,-2.94803,5
49,51.35247,-2.95139,5
50,51.35423,-2.94318,5
51,51.35311,-2.94727,5
52,51.35164,-2.9565,5
53,51.35092,-2.96002,5
54,51.35252,-2.95228,5
55,51.35149,-2.95595,5
56,51.35441,-2.94289,5
57,51.37011,-2.91019,5
58,51.367,-2.9038,5
59,51.36034,-2.91761,5
60,51.36141,-2.92042,5
61,51.35926,-2.91715,5
62,51.38651,-2.78628,5
63,51.35585,-2.98212,5
64,51.35589,-2.98382,5
65,51.35402,-2.97829,5
66,51.35612,-2.9787,5
67,51.35244,-2.9773,5
68,51.35364,-2.97601,5
69,51.35586,-2.98649,5
70,51.37021,-2.90748,5
71,51.37005,-2.91016,5
72,51.36542,-2.87423,5
73,51.37265,-2.8688,5
74,51.37602,-2.86064,5
75,51.35045,-2.96488,5
76,51.35087,-2.96147,5
77,51.33659,-2.97348,5
78,51.33831,-2.97434,5
79,51.33556,-2.97379,5
80,51.34983,-2.97049,5
81,51.3499,-2.96601,5
82,51.33829,-2.97567,5
83,51.35003,-2.97048,5
84,51.34778,-2.92879,5
85,51.36562,-2.90291,5
86,51.36489,-2.90121,5
87,51.36472,-2.9015,5
88,51.36368,-2.89983,5
89,51.36372,-2.90021,5
90,51.36194,-2.90126,5
91,51.34786,-2.92861,5
92,51.34125,-2.9625,5
93,51.34011,-2.96426,5
94,51.3516,-2.90348,5
95,51.35142,-2.90351,5
96,51.35189,-2.90633,5
97,51.35169,-2.90641,5
98,51.35226,-2.90796,5
99,51.35208,-2.90804,5
100,51.34049,-2.95968,5
101,51.35491,-2.91865,5
102,51.38864,-2.78775,5
103,51.38666,-2.78612,5
104,51.38603,-2.80477,5
105,51.38745,-2.7992,5
106,51.38493,-2.80948,5
107,51.38585,-2.80561,5
108,51.39075,-2.79736,5
109,51.38857,-2.78738,5
110,51.38732,-2.79908,5
111,51.39075,-2.79752,5
112,51.34824,-2.96414,5
113,51.34897,-2.97172,5
114,51.3545,-2.98433,5
115,51.35549,-2.98585,5
116,51.35556,-2.98888,5
117,51.34915,-2.97168,5
118,51.35108,-2.98093,5
119,51.35303,-2.98163,5
120,51.35337,-2.98389,5
121,51.36345,-2.91918,5
122,51.3577,-2.92488,5
123,51.35659,-2.93201,5
124,51.35657,-2.93302,5
125,51.34603,-2.94784,5
126,51.32427,-2.86066,5
127,51.35902,-2.90236,5
128,51.36597,-2.91712,5
129,51.36581,-2.91782,5
130,51.36816,-2.92081,5
131,51.36797,-2.92228,5
132,51.36358,-2.92408,5
133,51.3629,-2.92105,5
134,51.36285,-2.92075,5
135,51.34936,-2.92182,5
136,51.3492,-2.92174,5
137,51.31757,-2.96654,5
138,51.35999,-2.90781,5
139,51.34524,-2.94248,5
140,51.32825,-2.90029,5
141,51.3284,-2.90023,5
142,51.32974,-2.89705,5
143,51.32912,-2.89748,5
144,51.32814,-2.9021,5
145,51.32796,-2.90213,5
146,51.34717,-2.97687,5
147,51.34733,-2.97755,5
148,51.34741,-2.97775,5
149,51.34749,-2.97807,5
150,51.34398,-2.97729,5
151,51.34971,-2.93828,5
152,51.3484,-2.96407,5
153,51.34837,-2.95995,5
154,51.34862,-2.95476,5
155,51.34844,-2.95475,5
156,51.35225,-2.9371,5
157,51.35113,-2.93636,5
158,51.36061,-2.92627,5
159,51.35823,-2.93245,5
160,51.35957,-2.92936,5
161,51.36048,-2.92592,5
162,51.35843,-2.9325,5
163,51.35956,-2.92995,5
164,51.3552,-2.93963,5
165,51.35553,-2.939,5
166,51.36296,-2.9319,5
167,51.36492,-2.93134,5
168,51.37159,-2.80897,5
169,51.34916,-2.92649,5
170,51.34907,-2.92649,5
171,51.34881,-2.92887,5
172,51.34866,-2.92859,5
173,51.34797,-2.92635,5
174,51.3479,-2.9263,5
175,51.35023,-2.93168,5
176,51.34948,-2.93543,5
177,51.34972,-2.93327,5
178,51.34978,-2.93324,5
