ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,109,2,2,4,3.754
1,109,2,2,4,3.754
1,109,2,2,4,3.754
109,1,2,2,4,3.754
109,1,2,2,4,3.754
109,1,2,2,4,3.754
1,50,5,5,2,0.631
1,50,5,5,2,0.631
1,50,5,5,2,0.631
1,156,5,5,1,0.39
1,156,5,5,1,0.39
1,156,5,5,1,0.39
1,157,5,5,3,0.363
1,157,5,5,3,0.363
1,157,5,5,3,0.363
1,167,5,5,1,0.566
1,167,5,5,1,0.566
1,167,5,5,1,0.566
1,168,5,5,2,0.849
1,168,5,5,2,0.849
1,168,5,5,2,0.849
1,179,5,5,2,0.33
1,179,5,5,2,0.33
1,179,5,5,2,0.33
1,180,5,5,1,0.584
1,180,5,5,1,0.584
1,180,5,5,1,0.584
1,186,5,5,1,0.353
1,186,5,5,1,0.353
1,186,5,5,1,0.353
1,303,5,5,2,0.343
1,303,5,5,2,0.343
1,303,5,5,2,0.343
1,309,5,5,3,0.377
1,309,5,5,3,0.377
1,309,5,5,3,0.377
2,259,5,5,2,0.433
2,277,5,5,1,0.508
3,4,5,5,1,0.456
4,5,5,5,1,0.282
5,6,5,5,1,0.433
6,7,5,5,1,0.454
7,8,5,5,1,0.192
7,74,5,5,2,0.121
8,9,5,5,1,0.571
8,112,5,5,1,0.553
9,10,5,5,1,0.483
9,228,5,5,1,0.395
10,11,5,5,1,0.367
11,29,5,5,1,0.346
11,113,5,5,1,0.394
12,18,5,5,1,0.271
12,236,5,5,1,0.174
12,248,5,5,5,1.762
13,15,5,5,1,0.403
14,12,5,5,1,0.295
14,152,5,5,1,0.133
15,6,5,5,1,0.898
15,14,5,5,1,0.383
16,282,5,5,1,0.291
17,19,5,5,1,0.253
17,332,5,5,2,0.501
18,16,5,5,1,0.208
18,31,5,5,1,0.46
19,132,5,5,1,0.126
20,108,5,5,2,0.438
21,3,5,5,1,0.252
22,93,5,5,1,0.112
23,115,5,5,1,0.136
24,128,5,5,2,0.569
24,198,5,5,3,0.628
24,235,5,5,2,0.406
25,204,5,5,1,0.113
26,291,5,5,1,0.161
27,28,5,5,1,0.259
28,35,5,5,1,0.163
29,58,5,5,1,0.479
30,278,5,5,1,0.201
31,61,5,5,1,0.722
32,285,5,5,2,0.58
33,70,5,5,2,0.7
33,124,5,5,1,0.156
33,176,5,5,1,0.193
34,94,5,5,4,1.718
35,44,5,5,1,0.112
36,107,5,5,1,0.4
37,32,5,5,1,0.402
38,85,5,5,1,0.361
39,41,5,5,2,0.739
40,153,5,5,1,0.169
41,49,5,5,3,1.314
42,191,5,5,2,0.729
43,1,5,5,1,0.623
43,1,5,5,1,0.623
43,1,5,5,1,0.623
44,203,5,5,1,0.244
44,205,5,5,1,0.5
45,44,5,5,1,0.182
46,49,5,5,2,1.342
47,46,5,5,1,0.519
48,73,5,5,1,0.216
49,48,5,5,1,0.358
50,168,5,5,1,0.253
51,52,5,5,1,0.22
52,54,5,5,1,0.219
53,51,5,5,1,0.138
54,55,5,5,1,0.276
55,19,5,5,5,1.752
56,196,5,5,1,0.254
57,226,5,5,1,0.236
58,229,5,5,2,0.575
59,251,5,5,1,1.145
59,256,5,5,1,0.743
59,301,5,5,1,0.614
60,61,5,5,1,0.187
