nodeid,lat,lon,layer
1,50.6153,-2.45423,4
1,50.6153,-2.45423,2
1,50.6153,-2.45423,5
2,50.60852,-2.47579,5
3,50.62905,-2.46102,5
4,50.63258,-2.46434,5
5,50.63466,-2.46665,5
6,50.63777,-2.47038,5
7,50.64184,-2.47109,5
8,50.64357,-2.47123,5
9,50.64871,-2.47164,5
10,50.65297,-2.47023,5
11,50.65618,-2.46897,5
12,50.6246,-2.47769,5
13,50.62708,-2.47763,5
14,50.62726,-2.47756,5
15,50.63063,-2.47639,5
16,50.62061,-2.47903,5
17,50.62231,-2.47731,5
18,50.62216,-2.47737,5
19,50.62457,-2.47786,5
20,50.65799,-2.47313,5
21,50.62711,-2.45915,5
22,50.6061,-2.48224,5
23,50.62399,-2.50419,5
24,50.5921,-2.47695,5
25,50.64417,-2.43097,5
26,50.58821,-2.47505,5
27,50.6513,-2.41769,5
28,50.64903,-2.41857,5
29,50.65773,-2.47324,5
30,50.60567,-2.4748,5
31,50.61931,-2.48212,5
32,50.60003,-2.48038,5
33,50.60038,-2.48045,5
34,50.63057,-2.49436,5
35,50.64756,-2.41864,5
36,50.66267,-2.46794,5
37,50.59702,-2.47721,5
38,50.6304,-2.45128,5
39,50.63727,-2.42227,5
40,50.64032,-2.41472,5
41,50.63343,-2.43085,5
42,50.63364,-2.43091,5
43,50.612,-2.46139,5
44,50.64655,-2.41845,5
45,50.64614,-2.41594,5
46,50.63406,-2.43135,5
47,50.6387,-2.4323,5
48,50.62237,-2.44695,5
49,50.62492,-2.44382,5
50,50.60981,-2.45655,5
51,50.62353,-2.49846,5
52,50.62163,-2.49756,5
53,50.62469,-2.49919,5
54,50.61965,-2.49761,5
55,50.61791,-2.50042,5
56,50.59288,-2.46751,5
57,50.6358,-2.43995,5
58,50.66192,-2.47487,5
59,50.65159,-2.46209,5
60,50.61338,-2.47882,5
61,50.61282,-2.48133,5
62,50.61499,-2.46963,5
63,50.61526,-2.4716,5
64,50.61119,-2.47095,5
65,50.6123,-2.47184,5
66,50.61387,-2.47757,5
67,50.61412,-2.47371,5
68,50.61486,-2.47544,5
69,50.64324,-2.45236,5
70,50.59659,-2.4725,5
71,50.60503,-2.4841,5
72,50.62438,-2.50236,5
73,50.62075,-2.44866,5
74,50.64267,-2.46997,5
75,50.64442,-2.4541,5
76,50.64255,-2.44763,5
77,50.64474,-2.44453,5
78,50.62256,-2.45116,5
79,50.62051,-2.50263,5
80,50.62326,-2.45513,5
81,50.62668,-2.45854,5
82,50.62887,-2.45546,5
83,50.62955,-2.4613,5
84,50.63046,-2.45118,5
85,50.62869,-2.45565,5
86,50.62733,-2.45402,5
87,50.62737,-2.45688,5
88,50.62776,-2.45844,5
89,50.62707,-2.45095,5
90,50.60368,-2.48477,5
91,50.60542,-2.48801,5
92,50.6071,-2.48363,5
93,50.60529,-2.48127,5
94,50.6434,-2.48071,5
95,50.61144,-2.47301,5
96,50.61336,-2.47075,5
97,50.63516,-2.46719,5
98,50.63326,-2.4648,5
99,50.64077,-2.47075,5
100,50.63802,-2.47025,5
101,50.64587,-2.46651,5
102,50.64294,-2.47096,5
103,50.65305,-2.47007,5
104,50.64938,-2.47112,5
105,50.62266,-2.50522,5
106,50.60226,-2.46966,5
107,50.65907,-2.46826,5
108,50.65486,-2.46934,5
109,50.64826,-2.46615,2
110,50.62745,-2.45695,5
111,50.64847,-2.47101,5
112,50.64855,-2.47107,5
113,50.65971,-2.46835,5
114,50.66246,-2.46824,5
115,50.62445,-2.5024,5
116,50.61118,-2.49049,5
117,50.59711,-2.46219,5
118,50.59745,-2.46374,5
119,50.60449,-2.46261,5
120,50.60368,-2.46518,5
121,50.60087,-2.47301,5
122,50.60187,-2.47049,5
123,50.59734,-2.48047,5
124,50.59915,-2.47937,5
125,50.59172,-2.47399,5
126,50.59403,-2.47512,5
127,50.58484,-2.47181,5
128,50.58793,-2.47225,5
129,50.59816,-2.47245,5
130,50.599,-2.46969,5
131,50.59682,-2.4754,5
132,50.62569,-2.47755,5
133,50.62325,-2.45059,5
134,50.60784,-2.45544,5
135,50.6245,-2.47216,5
136,50.60935,-2.4806,5
137,50.60632,-2.46457,5
138,50.63866,-2.43244,5
139,50.63407,-2.43156,5
140,50.64561,-2.42493,5
141,50.64321,-2.43073,5
142,50.62047,-2.44906,5
143,50.62343,-2.44598,5
144,50.64895,-2.41875,5
145,50.6467,-2.41895,5
146,50.63842,-2.41986,5
147,50.64482,-2.42749,5
148,50.63913,-2.41912,5
149,50.63839,-2.41972,5
150,50.64047,-2.41711,5
151,50.6391,-2.41899,5
152,50.62607,-2.47727,5
153,50.64036,-2.41712,5
154,50.62342,-2.47542,5
155,50.62304,-2.47673,5
156,50.61183,-2.45331,5
157,50.61207,-2.45335,5
158,50.59747,-2.48059,5
159,50.5991,-2.47948,5
160,50.5928,-2.47758,5
161,50.59465,-2.47871,5
162,50.59474,-2.4786,5
163,50.60088,-2.47331,5
164,50.5998,-2.47721,5
165,50.60624,-2.4669,5
166,50.6243,-2.47158,5
167,50.61037,-2.45629,5
168,50.60768,-2.45527,5
169,50.60686,-2.45842,5
170,50.60262,-2.45904,5
171,50.60758,-2.4553,5
172,50.60123,-2.45863,5
173,50.60029,-2.46358,5
174,50.60812,-2.45989,5
175,50.59991,-2.47721,5
176,50.59916,-2.47848,5
177,50.62515,-2.47333,5
178,50.64754,-2.45166,5
179,50.61233,-2.45388,5
180,50.61021,-2.45633,5
181,50.59707,-2.46522,5
182,50.5973,-2.46354,5
183,50.59884,-2.46138,5
184,50.60376,-2.45772,5
185,50.64753,-2.41874,5
186,50.61212,-2.45397,5
187,50.60992,-2.48538,5
188,50.59879,-2.48243,5
189,50.60033,-2.48259,5
190,50.59116,-2.4688,5
191,50.63742,-2.42243,5
192,50.61196,-2.46042,5
193,50.59294,-2.46771,5
194,50.59521,-2.46817,5
195,50.59516,-2.46809,5
196,50.59168,-2.47059,5
197,50.59008,-2.47128,5
198,50.58889,-2.46961,5
199,50.59002,-2.46889,5
200,50.58996,-2.47088,5
201,50.59166,-2.47079,5
202,50.60638,-2.49039,5
203,50.64629,-2.4219,5
204,50.6432,-2.43044,5
205,50.64536,-2.42531,5
206,50.60897,-2.47469,5
207,50.62081,-2.45242,5
208,50.61797,-2.45099,5
209,50.61137,-2.46833,5
210,50.61113,-2.4707,5
211,50.59708,-2.46207,5
212,50.59713,-2.46518,5
213,50.60294,-2.49348,5
214,50.60619,-2.49079,5
215,50.59914,-2.48047,5
216,50.60761,-2.46107,5
217,50.62389,-2.50418,5
218,50.62497,-2.49879,5
219,50.62347,-2.49863,5
220,50.61376,-2.49812,5
221,50.61221,-2.49281,5
222,50.61965,-2.49773,5
223,50.61847,-2.50149,5
224,50.61161,-2.46581,5
225,50.64556,-2.43604,5
226,50.63458,-2.43719,5
227,50.66246,-2.47495,5
228,50.65162,-2.46839,5
229,50.66551,-2.48076,5
230,50.65171,-2.46477,5
231,50.65147,-2.46878,5
232,50.6515,-2.46195,5
233,50.65155,-2.46475,5
234,50.64852,-2.45394,5
235,50.58895,-2.47402,5
236,50.62314,-2.47678,5
237,50.61858,-2.50132,5
238,50.61375,-2.49776,5
239,50.62273,-2.50511,5
240,50.62079,-2.50267,5
241,50.60874,-2.47627,5
242,50.61236,-2.49293,5
243,50.61001,-2.48531,5
244,50.60646,-2.4704,5
245,50.64189,-2.43186,5
246,50.61942,-2.48217,5
247,50.62161,-2.49772,5
248,50.61799,-2.50044,5
249,50.62458,-2.49923,5
250,50.64615,-2.44815,5
251,50.64625,-2.44816,5
252,50.64264,-2.44732,5
253,50.64481,-2.44477,5
254,50.64452,-2.454,5
255,50.64327,-2.45211,5
256,50.64809,-2.45309,5
257,50.64738,-2.45273,5
258,50.64551,-2.44236,5
259,50.60986,-2.48157,5
260,50.60412,-2.49195,5
261,50.61056,-2.48126,5
262,50.61162,-2.46655,5
263,50.60925,-2.47476,5
264,50.60632,-2.47089,5
265,50.60645,-2.48464,5
266,50.60923,-2.48569,5
267,50.6418,-2.43194,5
268,50.64655,-2.42245,5
269,50.64615,-2.43058,5
270,50.64446,-2.43422,5
271,50.64458,-2.43439,5
272,50.64541,-2.44244,5
273,50.64789,-2.42416,5
274,50.64702,-2.42459,5
275,50.64639,-2.42665,5
276,50.64729,-2.42943,5
277,50.60955,-2.48282,5
278,50.60722,-2.47332,5
279,50.60621,-2.46519,5
280,50.60608,-2.46169,5
281,50.60358,-2.46576,5
282,50.62072,-2.47489,5
283,50.6482,-2.45547,5
284,50.60324,-2.48681,5
285,50.6047,-2.48409,5
286,50.60608,-2.48388,5
287,50.60666,-2.485,5
288,50.60892,-2.48576,5
289,50.59841,-2.4616,5
290,50.59968,-2.48165,5
291,50.58965,-2.47541,5
292,50.64112,-2.43332,5
293,50.64103,-2.43348,5
294,50.63877,-2.43404,5
295,50.63874,-2.43422,5
296,50.63752,-2.43414,5
297,50.63739,-2.43398,5
298,50.6235,-2.4744,5
299,50.62513,-2.47317,5
300,50.62649,-2.4732,5
301,50.64807,-2.45535,5
302,50.6067,-2.46032,5
303,50.61221,-2.45392,5
304,50.60052,-2.46258,5
305,50.5992,-2.46945,5
306,50.60373,-2.45957,5
307,50.60138,-2.45887,5
308,50.60572,-2.45258,5
309,50.61195,-2.45334,5
310,50.59697,-2.47556,5
311,50.59825,-2.47269,5
312,50.58649,-2.47267,5
313,50.59227,-2.47432,5
314,50.59431,-2.47552,5
315,50.58889,-2.47255,5
316,50.59076,-2.47384,5
317,50.61129,-2.46304,5
318,50.61125,-2.46291,5
319,50.6076,-2.46081,5
320,50.61262,-2.46334,5
321,50.6126,-2.46317,5
322,50.6251,-2.44374,5
323,50.61229,-2.48703,5
324,50.60621,-2.46235,5
325,50.62116,-2.45314,5
326,50.61692,-2.45176,5
327,50.61656,-2.4879,5
328,50.61459,-2.48723,5
329,50.62337,-2.45545,5
330,50.62063,-2.47445,5
331,50.62149,-2.47141,5
332,50.62158,-2.47029,5
333,50.61716,-2.46698,5
334,50.61707,-2.46708,5
335,50.61591,-2.46591,5
336,50.61569,-2.4658,5
337,50.62054,-2.47877,5
