ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,99,2,2,5,5.714
2,99,2,2,5,5.714
2,99,2,2,5,5.714
2,99,2,2,5,5.714
17,33,2,2,8,6.699
17,33,2,2,8,6.699
17,33,2,2,8,6.699
17,33,2,2,8,6.699
17,33,2,2,8,6.699
17,33,2,2,8,6.699
17,85,2,2,6,5.497
17,85,2,2,6,5.497
17,85,2,2,6,5.497
17,85,2,2,6,5.497
17,85,2,2,6,5.497
17,85,2,2,6,5.497
17,97,2,2,2,2.072
17,97,2,2,2,2.072
17,97,2,2,2,2.072
17,97,2,2,2,2.072
18,99,2,2,3,2.832
18,99,2,2,3,2.832
18,99,2,2,3,2.832
18,99,2,2,3,2.832
33,17,2,2,9,6.699
33,17,2,2,9,6.699
33,17,2,2,9,6.699
33,17,2,2,9,6.699
33,17,2,2,9,6.699
33,17,2,2,9,6.699
33,49,2,2,12,10.206
33,49,2,2,12,10.206
33,49,2,2,12,10.206
33,49,2,2,12,10.206
33,49,2,2,12,10.206
33,49,2,2,12,10.206
33,52,2,2,3,1.549
33,52,2,2,3,1.549
33,52,2,2,3,1.549
33,52,2,2,3,1.549
33,52,2,2,3,1.549
33,52,2,2,3,1.549
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,85,2,2,15,11.977
33,97,2,2,7,5.012
33,97,2,2,7,5.012
33,97,2,2,7,5.012
33,97,2,2,7,5.012
33,97,2,2,7,5.012
33,97,2,2,7,5.012
33,98,2,2,4,2.891
33,98,2,2,4,2.891
33,98,2,2,4,2.891
33,98,2,2,4,2.891
33,98,2,2,4,2.891
33,98,2,2,4,2.891
38,73,2,2,3,3.025
38,73,2,2,3,3.025
38,73,2,2,3,3.025
38,73,2,2,3,3.025
49,72,2,2,2,1.605
49,72,2,2,2,1.605
49,72,2,2,2,1.605
49,72,2,2,2,1.605
49,84,2,2,5,6.119
49,84,2,2,5,6.119
49,84,2,2,5,6.119
49,84,2,2,5,6.119
52,33,2,2,3,1.549
52,33,2,2,3,1.549
52,33,2,2,3,1.549
52,33,2,2,3,1.549
52,33,2,2,3,1.549
52,33,2,2,3,1.549
62,85,2,2,3,2.658
62,85,2,2,3,2.658
62,85,2,2,3,2.658
62,85,2,2,3,2.658
62,85,2,2,3,2.658
62,85,2,2,3,2.658
72,49,2,2,2,1.605
72,49,2,2,2,1.605
72,49,2,2,2,1.605
72,49,2,2,2,1.605
72,84,2,2,4,4.568
72,84,2,2,4,4.568
72,84,2,2,4,4.568
72,84,2,2,4,4.568
73,38,2,2,4,3.025
73,38,2,2,4,3.025
73,38,2,2,4,3.025
73,38,2,2,4,3.025
73,84,2,2,3,1.724
73,84,2,2,3,1.724
73,84,2,2,3,1.724
73,84,2,2,3,1.724
84,38,2,2,5,4.748
84,38,2,2,5,4.748
84,38,2,2,5,4.748
84,38,2,2,5,4.748
84,49,2,2,5,6.119
84,49,2,2,5,6.119
84,49,2,2,5,6.119
84,49,2,2,5,6.119
84,72,2,2,4,4.568
84,72,2,2,4,4.568
84,72,2,2,4,4.568
84,72,2,2,4,4.568
84,73,2,2,3,1.724
84,73,2,2,3,1.724
84,73,2,2,3,1.724
84,73,2,2,3,1.724
85,17,2,2,7,5.497
85,17,2,2,7,5.497
85,17,2,2,7,5.497
85,17,2,2,7,5.497
85,17,2,2,7,5.497
85,17,2,2,7,5.497
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,33,2,2,13,11.977
85,62,2,2,3,2.658
85,62,2,2,3,2.658
85,62,2,2,3,2.658
85,62,2,2,3,2.658
85,62,2,2,3,2.658
85,62,2,2,3,2.658
97,17,2,2,4,2.072
97,17,2,2,4,2.072
97,17,2,2,4,2.072
97,17,2,2,4,2.072
97,33,2,2,7,5.012
97,33,2,2,7,5.012
97,33,2,2,7,5.012
97,33,2,2,7,5.012
97,33,2,2,7,5.012
97,33,2,2,7,5.012
98,33,2,2,5,2.891
98,33,2,2,5,2.891
98,33,2,2,5,2.891
98,33,2,2,5,2.891
98,33,2,2,5,2.891
98,33,2,2,5,2.891
99,2,2,2,4,5.714
99,2,2,2,4,5.714
99,2,2,2,4,5.714
99,2,2,2,4,5.714
99,18,2,2,2,2.832
99,18,2,2,2,2.832
99,18,2,2,2,2.832
99,18,2,2,2,2.832
1,32,5,5,1,0.255
1,504,5,5,1,0.42
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,36,5,5,1,0.629
2,36,5,5,1,0.629
2,76,5,5,1,0.616
2,76,5,5,1,0.616
3,4,5,5,1,0.247
3,5,5,5,1,0.187
3,21,5,5,1,0.535
3,54,5,5,1,0.151
4,3,5,5,1,0.247
4,5,5,5,1,0.121
4,42,5,5,1,0.225
5,3,5,5,1,0.187
5,6,5,5,1,0.232
6,5,5,5,1,0.232
6,7,5,5,1,0.138
7,6,5,5,1,0.138
7,8,5,5,1,0.258
8,7,5,5,1,0.258
8,30,5,5,1,0.136
9,30,5,5,1,0.248
9,47,5,5,1,0.719
10,11,5,5,1,0.16
10,21,5,5,1,0.15
11,10,5,5,1,0.16
11,55,5,5,1,0.242
12,57,5,5,1,0.252
12,61,5,5,1,0.294
13,24,5,5,1,0.259
14,15,5,5,1,0.237
14,27,5,5,1,0.463
15,14,5,5,1,0.237
15,25,5,5,1,0.367
16,16,5,5,2,0.0
16,50,5,5,1,0.466
16,51,5,5,3,1.872
16,87,5,5,1,0.327
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,173,5,5,1,0.281
17,173,5,5,1,0.281
17,200,5,5,1,0.458
17,200,5,5,1,0.458
17,333,5,5,3,0.782
17,333,5,5,3,0.782
17,495,5,5,1,0.425
17,495,5,5,1,0.425
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,210,5,5,1,0.343
18,210,5,5,1,0.343
18,363,5,5,1,0.43
18,363,5,5,1,0.43
18,823,5,5,1,0.281
18,823,5,5,1,0.281
19,20,5,5,1,0.459
19,74,5,5,1,0.246
19,75,5,5,1,0.765
19,610,5,5,2,0.527
20,19,5,5,1,0.459
20,37,5,5,1,0.285
20,610,5,5,1,0.142
21,3,5,5,1,0.535
21,10,5,5,1,0.15
22,28,5,5,1,0.423
22,29,5,5,1,0.898
23,89,5,5,1,0.289
23,95,5,5,1,0.201
24,13,5,5,1,0.259
25,15,5,5,1,0.367
25,26,5,5,1,0.596
26,25,5,5,1,0.596
26,1110,5,5,1,0.724
26,1260,5,5,1,0.513
27,14,5,5,1,0.463
27,940,5,5,1,0.402
28,22,5,5,1,0.423
28,1407,5,5,1,0.592
29,22,5,5,2,0.898
29,89,5,5,1,0.215
30,8,5,5,1,0.136
30,9,5,5,1,0.248
30,447,5,5,1,0.18
31,32,5,5,1,0.502
31,50,5,5,1,0.509
32,1,5,5,1,0.255
32,31,5,5,1,0.502
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,33,5,5,1,0.0
33,112,5,5,1,0.319
33,112,5,5,1,0.319
33,112,5,5,1,0.319
33,256,5,5,1,0.547
33,256,5,5,1,0.547
33,256,5,5,1,0.547
33,635,5,5,2,0.44
33,635,5,5,2,0.44
33,635,5,5,2,0.44
33,643,5,5,1,0.324
33,643,5,5,1,0.324
33,643,5,5,1,0.324
33,1302,5,5,1,0.473
33,1302,5,5,1,0.473
33,1302,5,5,1,0.473
33,1424,5,5,4,1.345
33,1424,5,5,4,1.345
33,1424,5,5,4,1.345
34,2,5,5,1,0.687
34,2,5,5,1,0.687
34,35,5,5,1,0.28
34,36,5,5,1,0.077
34,37,5,5,1,0.246
35,34,5,5,1,0.28
36,2,5,5,2,0.629
36,2,5,5,2,0.629
36,34,5,5,1,0.077
36,37,5,5,1,0.213
37,20,5,5,1,0.285
37,36,5,5,1,0.213
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,652,5,5,1,0.252
38,652,5,5,1,0.252
38,1525,5,5,1,0.692
38,1525,5,5,1,0.692
39,40,5,5,1,0.269
39,96,5,5,1,0.079
40,39,5,5,1,0.269
40,41,5,5,1,0.281
41,40,5,5,1,0.281
42,4,5,5,1,0.225
42,43,5,5,1,0.284
42,64,5,5,1,0.711
43,42,5,5,1,0.284
43,96,5,5,1,0.284
44,45,5,5,1,0.173
44,86,5,5,1,0.23
45,44,5,5,1,0.173
45,88,5,5,1,0.376
45,90,5,5,1,0.101
46,86,5,5,1,0.087
46,1212,5,5,1,0.189
46,1324,5,5,1,0.674
47,9,5,5,1,0.719
47,48,5,5,2,1.219
47,60,5,5,3,1.178
48,46,5,5,1,0.337
48,47,5,5,2,1.219
48,86,5,5,1,0.271
49,49,5,5,1,0.0
49,49,5,5,1,0.0
49,49,5,5,1,0.0
49,49,5,5,1,0.0
49,1170,5,5,1,0.443
49,1170,5,5,1,0.443
49,1333,5,5,1,0.472
49,1333,5,5,1,0.472
49,1339,5,5,1,0.253
49,1339,5,5,1,0.253
49,1350,5,5,1,0.548
49,1350,5,5,1,0.548
49,1668,5,5,1,0.365
49,1668,5,5,1,0.365
50,16,5,5,1,0.466
50,31,5,5,1,0.509
51,16,5,5,4,1.872
51,1096,5,5,1,0.782
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,350,5,5,1,0.328
52,350,5,5,1,0.328
52,584,5,5,1,0.261
52,584,5,5,1,0.261
52,1222,5,5,1,0.447
52,1222,5,5,1,0.447
52,1575,5,5,1,0.431
52,1575,5,5,1,0.431
53,570,5,5,1,0.801
53,570,5,5,1,0.801
53,1480,5,5,1,0.291
53,1480,5,5,1,0.291
53,1481,5,5,1,0.255
53,1481,5,5,1,0.255
53,1482,5,5,2,0.354
53,1482,5,5,2,0.354
53,1484,5,5,1,0.248
53,1484,5,5,1,0.248
53,1722,5,5,1,0.265
53,1722,5,5,1,0.265
54,3,5,5,1,0.151
54,60,5,5,1,0.328
55,11,5,5,1,0.242
56,56,5,5,1,0.0
57,12,5,5,1,0.252
57,59,5,5,1,0.239
58,59,5,5,1,0.173
58,96,5,5,3,1.079
59,57,5,5,1,0.239
59,58,5,5,1,0.173
59,60,5,5,1,0.273
60,47,5,5,3,1.178
60,54,5,5,1,0.328
60,59,5,5,1,0.273
61,12,5,5,1,0.294
61,56,5,5,1,0.282
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,111,5,5,1,0.389
62,111,5,5,1,0.389
62,250,5,5,1,0.293
62,250,5,5,1,0.293
62,1778,5,5,1,0.353
62,1778,5,5,1,0.353
63,64,5,5,1,0.264
63,65,5,5,1,0.528
63,68,5,5,1,0.588
63,69,5,5,1,0.476
64,42,5,5,1,0.711
64,63,5,5,1,0.264
64,96,5,5,3,1.138
65,63,5,5,1,0.528
65,66,5,5,1,0.307
66,65,5,5,1,0.307
66,71,5,5,1,0.418
67,68,5,5,1,0.105
67,70,5,5,1,0.214
68,63,5,5,1,0.588
68,67,5,5,1,0.105
69,63,5,5,1,0.476
69,70,5,5,1,0.188
69,83,5,5,1,0.198
70,67,5,5,1,0.214
70,69,5,5,1,0.188
71,66,5,5,1,0.418
72,72,5,5,1,0.0
72,72,5,5,1,0.0
72,72,5,5,1,0.0
72,72,5,5,1,0.0
72,337,5,5,1,0.609
72,337,5,5,1,0.609
72,417,5,5,1,0.3
72,417,5,5,1,0.3
72,424,5,5,1,0.815
72,424,5,5,1,0.815
72,429,5,5,1,0.322
72,429,5,5,1,0.322
72,690,5,5,1,0.521
72,690,5,5,1,0.521
72,1698,5,5,1,0.736
72,1698,5,5,1,0.736
72,1729,5,5,1,0.383
72,1729,5,5,1,0.383
72,1805,5,5,1,0.25
72,1805,5,5,1,0.25
73,73,5,5,1,0.0
73,73,5,5,1,0.0
73,73,5,5,1,0.0
73,73,5,5,1,0.0
73,148,5,5,1,0.976
73,148,5,5,1,0.976
73,499,5,5,1,0.815
73,499,5,5,1,0.815
73,501,5,5,1,0.497
73,501,5,5,1,0.497
73,874,5,5,1,0.323
73,874,5,5,1,0.323
73,1028,5,5,1,0.472
73,1028,5,5,1,0.472
73,1239,5,5,2,0.746
73,1239,5,5,2,0.746
73,1595,5,5,1,0.395
73,1595,5,5,1,0.395
74,19,5,5,1,0.246
74,80,5,5,1,0.244
75,19,5,5,1,0.765
75,1817,5,5,1,0.331
