nodeid,lat,lon,layer
1,53.38504,-2.68871,5
2,53.39248,-2.65047,2
2,53.39248,-2.65047,5
3,53.41204,-2.6342,5
4,53.41048,-2.63687,5
5,53.41157,-2.63692,5
6,53.41269,-2.63988,5
7,53.41231,-2.64188,5
8,53.40999,-2.64159,5
9,53.41221,-2.64502,5
10,53.41227,-2.62409,5
11,53.41137,-2.6222,5
12,53.41771,-2.61974,5
13,53.43099,-2.59654,5
14,53.43065,-2.60254,5
15,53.43096,-2.59898,5
16,53.38254,-2.66317,5
17,53.48853,-2.67213,5
17,53.48853,-2.67213,2
18,53.37241,-2.77507,5
18,53.37241,-2.77507,2
19,53.39169,-2.66426,5
20,53.38769,-2.66247,5
21,53.41167,-2.62613,5
22,53.43236,-2.63259,5
23,53.43334,-2.64679,5
24,53.43152,-2.59272,5
25,53.43377,-2.60192,5
26,53.4382,-2.60703,5
27,53.42994,-2.60945,5
28,53.43158,-2.62632,5
29,53.43259,-2.64617,5
30,53.41013,-2.64364,5
31,53.38295,-2.67782,5
32,53.38442,-2.685,5
33,53.54426,-2.63322,4
33,53.54426,-2.63322,2
33,53.54426,-2.63322,5
34,53.38681,-2.65464,5
35,53.38431,-2.65407,5
36,53.38748,-2.65495,5
37,53.38751,-2.65817,5
38,53.41713,-2.7664,5
38,53.41713,-2.7664,2
39,53.40691,-2.62835,5
40,53.40449,-2.62809,5
41,53.40239,-2.63046,5
42,53.40845,-2.63663,5
43,53.40657,-2.6337,5
44,53.43093,-2.66012,5
45,53.43079,-2.65751,5
46,53.42939,-2.6622,5
47,53.41843,-2.64805,5
48,53.42652,-2.66053,5
49,53.45307,-2.61359,2
49,53.45307,-2.61359,5
50,53.38229,-2.6702,5
51,53.3768,-2.68976,5
52,53.53893,-2.61152,5
52,53.53893,-2.61152,2
53,53.36116,-2.73459,4
53,53.36116,-2.73459,5
54,53.413,-2.63258,5
55,53.41034,-2.61897,5
56,53.41392,-2.61554,5
57,53.41728,-2.62349,5
58,53.41632,-2.62421,5
59,53.41644,-2.62683,5
60,53.41576,-2.63081,5
61,53.41646,-2.61582,5
62,53.43659,-2.75937,2
62,53.43659,-2.75937,5
63,53.40396,-2.64845,5
64,53.40607,-2.64661,5
65,53.39979,-2.64459,5
66,53.40115,-2.64054,5
67,53.39899,-2.65019,5
68,53.39866,-2.6487,5
69,53.40158,-2.65444,5
70,53.40032,-2.65254,5
71,53.40041,-2.63434,5
72,53.45115,-2.63766,5
72,53.45115,-2.63766,2
73,53.42711,-2.72384,2
73,53.42711,-2.72384,5
74,53.39372,-2.66576,5
75,53.39473,-2.67464,5
76,53.39529,-2.65851,5
77,53.39581,-2.66196,5
78,53.39934,-2.6674,5
79,53.40121,-2.66633,5
80,53.39586,-2.66487,5
81,53.3977,-2.66772,5
82,53.40247,-2.66077,5
83,53.40249,-2.65703,5
84,53.43374,-2.70026,5
84,53.43374,-2.70026,2
85,53.45313,-2.7303,4
85,53.45313,-2.7303,2
85,53.45313,-2.7303,5
86,53.42894,-2.66111,5
87,53.38322,-2.65835,5
88,53.43012,-2.65193,5
89,53.43074,-2.64717,5
90,53.43163,-2.65812,5
91,53.43425,-2.65971,5
92,53.43936,-2.66515,5
93,53.44073,-2.66775,5
94,53.43814,-2.65607,5
95,53.43514,-2.6472,5
96,53.40712,-2.6295,5
97,53.49988,-2.64721,2
97,53.49988,-2.64721,5
98,53.53042,-2.67035,2
98,53.53042,-2.67035,5
99,53.37851,-2.73354,2
99,53.37851,-2.73354,5
100,53.43257,-2.68281,5
101,53.45057,-2.67863,5
102,53.45048,-2.67862,5
103,53.48036,-2.63765,5
104,53.57159,-2.63837,5
105,53.41659,-2.71034,5
106,53.41725,-2.71099,5
107,53.41795,-2.71151,5
108,53.49656,-2.68008,5
109,53.49627,-2.68053,5
110,53.43986,-2.75847,5
111,53.44001,-2.75807,5
112,53.5471,-2.63397,5
113,53.47814,-2.72056,5
114,53.54194,-2.59577,5
115,53.47781,-2.72104,5
116,53.46677,-2.56898,5
117,53.5046,-2.70529,5
118,53.51614,-2.59624,5
119,53.54956,-2.61339,5
120,53.46936,-2.5617,5
121,53.53392,-2.66196,5
122,53.53948,-2.59509,5
123,53.55325,-2.61664,5
124,53.55006,-2.64696,5
125,53.5489,-2.61653,5
126,53.4881,-2.61163,5
127,53.48674,-2.65085,5
128,53.4431,-2.63027,5
129,53.54878,-2.62631,5
130,53.55384,-2.6351,5
131,53.43424,-2.74523,5
132,53.50999,-2.64427,5
133,53.42944,-2.74663,5
134,53.42824,-2.74616,5
135,53.47605,-2.72362,5
136,53.52081,-2.59762,5
137,53.53408,-2.65469,5
138,53.52283,-2.67206,5
139,53.5053,-2.59252,5
140,53.47452,-2.68404,5
141,53.56411,-2.6325,5
142,53.4353,-2.70593,5
143,53.43528,-2.7064,5
144,53.47471,-2.56495,5
145,53.41526,-2.73573,5
146,53.41507,-2.73453,5
147,53.42827,-2.73849,5
148,53.42811,-2.7385,5
149,53.52578,-2.65476,5
150,53.4957,-2.5741,5
151,53.54627,-2.66007,5
152,53.5095,-2.60606,5
153,53.3894,-2.74796,5
154,53.38949,-2.748,5
155,53.52018,-2.67806,5
156,53.42473,-2.76533,5
157,53.56031,-2.59982,5
158,53.44843,-2.68373,5
159,53.44867,-2.68367,5
160,53.52138,-2.66258,5
161,53.43696,-2.70287,5
162,53.41678,-2.73152,5
163,53.45181,-2.74457,5
164,53.50072,-2.65393,5
165,53.54511,-2.61577,5
166,53.48433,-2.59463,5
167,53.44779,-2.69865,5
168,53.44739,-2.69958,5
169,53.44726,-2.69842,5
170,53.4757,-2.59759,5
