ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
181,245,2,2,5,5.706
181,245,2,2,5,5.706
181,245,2,2,5,5.706
181,245,2,2,5,5.706
181,245,2,2,5,5.706
181,245,2,2,5,5.706
209,212,2,2,3,2.042
209,212,2,2,3,2.042
209,212,2,2,3,2.042
209,212,2,2,3,2.042
209,245,2,2,4,4.25
209,245,2,2,4,4.25
209,245,2,2,4,4.25
209,245,2,2,4,4.25
209,245,2,2,4,4.25
209,245,2,2,4,4.25
212,209,2,2,2,2.042
212,209,2,2,2,2.042
212,209,2,2,2,2.042
212,209,2,2,2,2.042
245,181,2,2,5,5.706
245,181,2,2,5,5.706
245,181,2,2,5,5.706
245,181,2,2,5,5.706
245,181,2,2,5,5.706
245,181,2,2,5,5.706
245,209,2,2,4,4.25
245,209,2,2,4,4.25
245,209,2,2,4,4.25
245,209,2,2,4,4.25
245,209,2,2,4,4.25
245,209,2,2,4,4.25
245,282,2,2,4,3.607
245,282,2,2,4,3.607
245,282,2,2,4,3.607
245,282,2,2,4,3.607
245,282,2,2,4,3.607
245,282,2,2,4,3.607
282,245,2,2,4,3.607
282,245,2,2,4,3.607
282,245,2,2,4,3.607
282,245,2,2,4,3.607
282,245,2,2,4,3.607
282,245,2,2,4,3.607
1,63,5,5,1,0.511
1,162,5,5,1,0.495
1,204,5,5,1,0.139
1,310,5,5,1,0.553
2,115,5,5,1,0.373
2,209,5,5,1,0.928
2,209,5,5,1,0.928
3,116,5,5,1,0.159
3,239,5,5,1,0.167
4,177,5,5,2,1.053
4,275,5,5,1,0.529
5,92,5,5,1,0.587
5,160,5,5,1,0.411
6,27,5,5,1,0.101
6,191,5,5,2,0.359
6,195,5,5,1,0.595
7,147,5,5,1,0.107
7,218,5,5,2,0.59
7,256,5,5,2,0.232
8,272,5,5,1,0.416
9,29,5,5,1,0.67
9,68,5,5,1,0.581
9,298,5,5,4,1.06
10,54,5,5,2,0.811
10,90,5,5,1,0.946
10,261,5,5,1,0.797
10,335,5,5,2,0.38
11,219,5,5,1,0.437
11,368,5,5,10,0.203
12,44,5,5,1,0.705
12,124,5,5,1,0.316
12,208,5,5,1,0.403
13,207,5,5,1,0.517
13,303,5,5,1,0.493
14,44,5,5,1,0.407
14,230,5,5,1,0.294
15,116,5,5,1,0.227
15,155,5,5,1,0.176
15,245,5,5,3,1.613
15,245,5,5,3,1.613
15,245,5,5,3,1.613
16,106,5,5,1,0.204
16,236,5,5,5,0.761
16,243,5,5,1,0.162
16,299,5,5,2,0.565
16,303,5,5,1,0.214
17,112,5,5,2,1.931
17,189,5,5,1,0.685
17,285,5,5,3,2.169
18,37,5,5,1,0.505
18,285,5,5,2,0.94
19,133,5,5,1,0.205
19,187,5,5,1,0.347
20,222,5,5,1,0.074
20,309,5,5,1,0.178
21,41,5,5,1,0.646
21,215,5,5,1,0.185
22,266,5,5,1,0.365
22,296,5,5,1,0.288
23,36,5,5,3,1.012
23,89,5,5,1,0.437
23,138,5,5,1,0.191
23,216,5,5,1,0.284
24,146,5,5,1,0.287
24,217,5,5,1,0.682
25,66,5,5,1,0.27
25,179,5,5,1,0.351
26,243,5,5,1,0.112
26,253,5,5,1,0.154
27,6,5,5,1,0.101
27,33,5,5,2,0.259
27,191,5,5,1,0.455
27,255,5,5,1,0.468
28,232,5,5,3,1.164
28,256,5,5,2,0.795
29,9,5,5,1,0.67
29,260,5,5,1,0.542
30,57,5,5,1,0.353
30,121,5,5,2,0.438
30,143,5,5,1,0.502
31,32,5,5,1,0.244
31,35,5,5,1,0.106
32,31,5,5,1,0.244
32,191,5,5,1,0.249
33,27,5,5,2,0.259
33,286,5,5,1,0.161
34,35,5,5,1,0.129
34,286,5,5,1,0.247
35,31,5,5,1,0.106
35,34,5,5,1,0.129
36,23,5,5,5,1.012
36,36,5,5,1,0.0
36,181,5,5,1,0.679
36,181,5,5,1,0.679
36,258,5,5,1,0.355
37,18,5,5,1,0.505
37,108,5,5,2,1.447
37,148,5,5,1,0.353
38,149,5,5,1,0.235
38,174,5,5,1,0.355
39,75,5,5,1,0.228
39,245,5,5,1,0.847
39,245,5,5,1,0.847
39,245,5,5,1,0.847
39,368,5,5,1,0.2
40,220,5,5,1,0.195
40,235,5,5,1,0.249
41,21,5,5,1,0.646
41,77,5,5,1,0.184
42,271,5,5,1,0.403
42,284,5,5,1,0.533
43,134,5,5,1,0.287
43,142,5,5,1,0.378
43,159,5,5,1,0.455
43,235,5,5,1,0.265
43,276,5,5,5,0.504
44,12,5,5,1,0.705
44,14,5,5,1,0.407
45,62,5,5,1,0.339
45,65,5,5,1,0.066
45,69,5,5,1,0.242
46,173,5,5,1,0.446
46,222,5,5,1,0.266
47,173,5,5,2,0.358
47,252,5,5,1,0.363
47,315,5,5,1,0.082
48,97,5,5,1,0.252
48,262,5,5,1,0.319
49,118,5,5,1,0.163
49,183,5,5,1,0.225
50,165,5,5,1,0.653
50,244,5,5,1,0.473
51,120,5,5,2,0.264
51,131,5,5,1,0.249
51,183,5,5,1,0.583
52,122,5,5,1,0.619
52,210,5,5,1,0.531
53,91,5,5,1,0.332
53,167,5,5,1,0.407
54,181,5,5,1,0.695
54,181,5,5,1,0.695
54,261,5,5,1,0.195
54,339,5,5,2,0.564
55,127,5,5,1,0.406
55,283,5,5,3,1.498
56,190,5,5,1,0.459
56,279,5,5,1,0.436
57,30,5,5,1,0.353
57,280,5,5,1,0.309
58,145,5,5,1,0.445
58,224,5,5,1,0.277
59,58,5,5,1,0.201
59,145,5,5,1,0.27
59,224,5,5,1,0.344
60,168,5,5,2,0.387
60,259,5,5,1,0.307
61,71,5,5,2,0.257
61,173,5,5,1,0.211
62,65,5,5,1,0.315
62,300,5,5,1,0.198
63,1,5,5,2,0.511
63,198,5,5,1,0.216
63,263,5,5,1,0.241
64,98,5,5,1,0.374
64,242,5,5,1,0.192
65,62,5,5,1,0.315
65,69,5,5,4,0.236
65,105,5,5,1,0.247
65,106,5,5,1,0.24
66,25,5,5,1,0.27
66,264,5,5,1,0.432
66,343,5,5,1,0.244
67,180,5,5,1,0.259
67,267,5,5,1,0.289
68,9,5,5,1,0.581
68,182,5,5,1,0.365
69,45,5,5,1,0.242
69,70,5,5,1,0.181
69,71,5,5,2,0.534
70,69,5,5,1,0.181
70,314,5,5,1,0.094
71,45,5,5,1,0.542
71,61,5,5,1,0.257
71,69,5,5,1,0.534
72,73,5,5,1,0.072
72,110,5,5,1,0.496
72,161,5,5,1,0.287
73,72,5,5,1,0.072
73,110,5,5,1,0.563
73,161,5,5,1,0.222
73,233,5,5,1,0.41
74,118,5,5,1,0.181
74,308,5,5,1,0.225
75,39,5,5,1,0.228
75,271,5,5,1,0.335
