nodeid,lat,lon,layer
1,51.32189,-0.53594,5
2,51.33111,-0.50871,5
3,51.32052,-0.58189,5
4,51.31931,-0.69705,5
5,51.35542,-0.51391,5
6,51.35003,-0.49816,5
7,51.32839,-0.57252,5
8,51.29033,-0.64416,5
9,51.34044,-0.64466,5
10,51.30465,-0.65734,5
11,51.31531,-0.57113,5
12,51.31471,-0.62665,5
13,51.31168,-0.58869,5
14,51.3233,-0.6343,5
15,51.31814,-0.5802,5
16,51.31226,-0.59882,5
17,51.33869,-0.54353,5
18,51.36545,-0.53076,5
19,51.31005,-0.56986,5
20,51.31986,-0.60608,5
21,51.29622,-0.54141,5
22,51.35353,-0.67465,5
23,51.30945,-0.61319,5
24,51.29395,-0.56193,5
25,51.30284,-0.55399,5
26,51.314,-0.59696,5
27,51.35034,-0.49679,5
28,51.33639,-0.57883,5
29,51.34457,-0.65172,5
30,51.34133,-0.51988,5
31,51.34552,-0.4961,5
32,51.34686,-0.4989,5
33,51.35012,-0.49306,5
34,51.34757,-0.49521,5
35,51.34645,-0.49574,5
36,51.30556,-0.62638,5
37,51.36585,-0.52349,5
38,51.28945,-0.5088,5
39,51.31734,-0.56903,5
40,51.32173,-0.57614,5
41,51.30203,-0.54209,5
42,51.31333,-0.58035,5
43,51.32358,-0.57255,5
44,51.32066,-0.63022,5
45,51.3129,-0.60603,5
46,51.32064,-0.61073,5
47,51.31637,-0.61999,5
48,51.36299,-0.52812,5
49,51.33479,-0.70123,5
50,51.30248,-0.57126,5
51,51.3334,-0.70757,5
52,51.30203,-0.50913,5
53,51.36115,-0.4874,5
54,51.30365,-0.64576,5
55,51.34353,-0.68251,5
56,51.33175,-0.52688,5
57,51.34324,-0.5158,5
58,51.33118,-0.47544,5
59,51.33296,-0.47598,5
60,51.32107,-0.58641,5
61,51.31807,-0.61341,5
62,51.30986,-0.60649,5
63,51.32051,-0.52891,5
64,51.32331,-0.60178,5
65,51.31259,-0.60521,5
66,51.30244,-0.55783,5
67,51.36274,-0.5107,5
68,51.33635,-0.63943,5
69,51.31446,-0.60359,5
70,51.31482,-0.60104,5
71,51.31709,-0.61004,5
72,51.28888,-0.52622,5
73,51.28903,-0.52723,5
74,51.33193,-0.70311,5
75,51.31653,-0.57205,5
76,51.34601,-0.46294,5
77,51.30228,-0.54472,5
78,51.33941,-0.47394,5
79,51.34478,-0.67027,5
80,51.36646,-0.49419,5
81,51.36508,-0.49537,5
82,51.36742,-0.49272,5
83,51.36645,-0.5004,5
84,51.28234,-0.51531,5
85,51.31424,-0.56402,5
86,51.31888,-0.51195,5
87,51.33463,-0.54221,5
88,51.30662,-0.55053,5
89,51.31339,-0.61346,5
90,51.30245,-0.67051,5
91,51.36413,-0.48787,5
92,51.35021,-0.51246,5
93,51.33891,-0.49405,5
94,51.35023,-0.67865,5
95,51.33661,-0.4703,5
96,51.34176,-0.46278,5
97,51.36457,-0.53074,5
98,51.32172,-0.59702,5
99,51.30723,-0.55053,5
100,51.30555,-0.54815,5
101,51.30803,-0.55517,5
102,51.30424,-0.5474,5
103,51.36431,-0.65403,5
104,51.29292,-0.53696,5
105,51.31249,-0.60877,5
106,51.31238,-0.60176,5
107,51.32074,-0.56426,5
108,51.36834,-0.50299,5
109,51.31818,-0.58444,5
110,51.28967,-0.51918,5
111,51.33317,-0.47,5
112,51.32256,-0.55396,5
113,51.33991,-0.48159,5
114,51.30792,-0.55799,5
115,51.32802,-0.51085,5
116,51.31925,-0.58295,5
117,51.30038,-0.49238,5
118,51.33349,-0.70233,5
119,51.3285,-0.70254,5
120,51.33124,-0.70597,5
121,51.33747,-0.51854,5
122,51.30026,-0.50066,5
123,51.32762,-0.63891,5
124,51.31186,-0.62668,5
125,51.32887,-0.56231,5
126,51.31285,-0.56514,5
127,51.34709,-0.68113,5
128,51.32033,-0.59668,5
129,51.34904,-0.46271,5
130,51.32178,-0.61035,5
131,51.33178,-0.71006,5
132,51.33021,-0.63886,5
133,51.30916,-0.56726,5
134,51.32615,-0.5731,5
135,51.31388,-0.55746,5
136,51.31513,-0.54839,5
137,51.31455,-0.5517,5
138,51.31111,-0.61396,5
139,51.31165,-0.6131,5
140,51.32755,-0.70323,5
141,51.31761,-0.59581,5
142,51.32524,-0.57732,5
143,51.33903,-0.52612,5
144,51.29931,-0.64532,5
145,51.33453,-0.47897,5
146,51.29616,-0.56409,5
147,51.32785,-0.57123,5
148,51.36573,-0.51839,5
149,51.28795,-0.5064,5
150,51.32368,-0.58092,5
151,51.32315,-0.58125,5
152,51.31433,-0.62283,5
153,51.3265,-0.56218,5
154,51.29754,-0.64481,5
155,51.31693,-0.57856,5
156,51.32292,-0.51891,5
157,51.32402,-0.51438,5
158,51.32282,-0.50257,5
159,51.31999,-0.56938,5
160,51.35912,-0.51351,5
161,51.29038,-0.5296,5
162,51.32221,-0.54307,5
163,51.35481,-0.48853,5
164,51.30087,-0.68074,5
165,51.29666,-0.57267,5
166,51.34563,-0.50106,5
167,51.35749,-0.487,5
168,51.31813,-0.58943,5
169,51.31417,-0.56161,5
170,51.31111,-0.5674,5
171,51.31823,-0.57444,5
172,51.298,-0.49646,5
173,51.31864,-0.61632,5
174,51.29065,-0.51354,5
175,51.34852,-0.46126,5
176,51.31583,-0.62,5
177,51.32879,-0.69649,5
178,51.31338,-0.62487,5
179,51.30599,-0.55455,5
180,51.36323,-0.50704,5
181,51.30376,-0.63574,2
181,51.30376,-0.63574,5
182,51.33322,-0.6378,5
183,51.33682,-0.70119,5
184,51.28521,-0.56014,5
185,51.32648,-0.58934,5
186,51.33539,-0.5116,5
187,51.3127,-0.56719,5
188,51.35086,-0.66433,5
189,51.33264,-0.54551,5
190,51.33519,-0.52321,5
191,51.34791,-0.50208,5
192,51.3465,-0.50669,5
193,51.31718,-0.61395,5
194,51.27944,-0.57297,5
195,51.34939,-0.50668,5
196,51.31003,-0.5635,5
197,51.32796,-0.58503,5
198,51.32084,-0.53198,5
199,51.32144,-0.53053,5
200,51.32273,-0.53036,5
201,51.32471,-0.53412,5
202,51.32526,-0.53669,5
203,51.32413,-0.53748,5
204,51.32279,-0.53734,5
205,51.33948,-0.48909,5
206,51.31335,-0.62223,5
207,51.30937,-0.58222,5
208,51.31799,-0.62414,5
209,51.33923,-0.50548,5
209,51.33923,-0.50548,2
210,51.30679,-0.50998,5
211,51.34845,-0.67878,5
212,51.3498,-0.48138,2
212,51.3498,-0.48138,5
213,51.33155,-0.69719,5
214,51.36179,-0.65627,5
215,51.29455,-0.54147,5
216,51.30837,-0.60948,5
217,51.28794,-0.55989,5
218,51.3261,-0.5802,5
219,51.31559,-0.57742,5
220,51.32,-0.57562,5
221,51.36605,-0.65727,5
222,51.31978,-0.60714,5
223,51.3021,-0.67546,5
224,51.33162,-0.4715,5
225,51.30885,-0.57642,5
226,51.32277,-0.50985,5
227,51.31731,-0.58436,5
228,51.32974,-0.53508,5
229,51.32995,-0.54418,5
230,51.32508,-0.63744,5
231,51.31069,-0.57291,5
232,51.33216,-0.56347,5
233,51.28627,-0.52329,5
234,51.32388,-0.5321,5
235,51.32397,-0.57632,5
