ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,3,2,2,6,6.0
2,3,2,2,6,6.0
2,3,2,2,6,6.0
2,3,2,2,6,6.0
2,3,2,2,6,6.0
2,3,2,2,6,6.0
2,10,2,2,2,1.128
2,10,2,2,2,1.128
2,10,2,2,2,1.128
2,10,2,2,2,1.128
3,2,2,2,5,6.0
3,2,2,2,5,6.0
3,2,2,2,5,6.0
3,2,2,2,5,6.0
3,2,2,2,5,6.0
3,2,2,2,5,6.0
3,4,2,2,5,5.266
3,4,2,2,5,5.266
3,4,2,2,5,5.266
3,4,2,2,5,5.266
3,4,2,2,5,5.266
3,4,2,2,5,5.266
4,3,2,2,5,5.266
4,3,2,2,5,5.266
4,3,2,2,5,5.266
4,3,2,2,5,5.266
4,3,2,2,5,5.266
4,3,2,2,5,5.266
10,2,2,2,2,1.128
10,2,2,2,2,1.128
10,2,2,2,2,1.128
10,2,2,2,2,1.128
1,5,3,3,1,1.212
1,5,3,3,1,1.212
1,5,3,3,1,1.212
1,5,3,3,1,1.212
1,7,3,3,1,0.459
1,7,3,3,1,0.459
1,7,3,3,1,0.459
1,7,3,3,1,0.459
5,1,3,3,1,1.212
5,1,3,3,1,1.212
5,1,3,3,1,1.212
5,1,3,3,1,1.212
5,8,3,3,4,1.73
5,8,3,3,4,1.73
5,8,3,3,4,1.73
5,8,3,3,4,1.73
6,7,3,3,1,0.92
6,7,3,3,1,0.92
6,7,3,3,1,0.92
6,7,3,3,1,0.92
7,1,3,3,1,0.459
7,1,3,3,1,0.459
7,1,3,3,1,0.459
7,1,3,3,1,0.459
7,6,3,3,2,0.92
7,6,3,3,2,0.92
7,6,3,3,2,0.92
7,6,3,3,2,0.92
8,5,3,3,4,1.73
8,5,3,3,4,1.73
8,5,3,3,4,1.73
8,5,3,3,4,1.73
8,9,3,3,1,0.536
8,9,3,3,1,0.536
8,9,3,3,1,0.536
8,9,3,3,1,0.536
9,8,3,3,1,0.536
9,8,3,3,1,0.536
9,8,3,3,1,0.536
9,8,3,3,1,0.536
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,7,5,5,1,0.459
1,7,5,5,1,0.459
1,7,5,5,1,0.459
1,7,5,5,1,0.459
1,490,5,5,1,0.536
1,490,5,5,1,0.536
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,1060,5,5,2,0.566
2,1060,5,5,2,0.566
2,1091,5,5,1,0.419
2,1091,5,5,1,0.419
2,1405,5,5,1,0.361
2,1405,5,5,1,0.361
3,9,5,5,1,0.525
3,9,5,5,1,0.525
3,9,5,5,1,0.525
3,9,5,5,1,0.525
3,9,5,5,1,0.525
