nodeid,lat,lon,layer
1,52.56795,-2.08075,5
1,52.56795,-2.08075,3
2,52.62373,-2.18609,5
2,52.62373,-2.18609,2
3,52.58786,-2.11952,4
3,52.58786,-2.11952,2
3,52.58786,-2.11952,5
4,52.54509,-2.08578,2
4,52.54509,-2.08578,5
5,52.57163,-2.09766,5
5,52.57163,-2.09766,3
6,52.55982,-2.06551,5
6,52.55982,-2.06551,3
7,52.56583,-2.0749,5
7,52.56583,-2.0749,3
8,52.58139,-2.11765,5
8,52.58139,-2.11765,3
9,52.58409,-2.12424,5
9,52.58409,-2.12424,3
10,52.6273,-2.20177,2
10,52.6273,-2.20177,5
11,52.57609,-2.12235,5
12,52.57977,-2.07642,5
13,52.57969,-2.07631,5
14,52.59533,-2.15271,5
15,52.62959,-2.09252,5
16,52.62961,-2.09273,5
17,52.59295,-2.13097,5
18,52.59401,-2.13066,5
19,52.592,-2.15949,5
20,52.59197,-2.1594,5
21,52.59218,-2.15922,5
22,52.59221,-2.15919,5
23,52.59834,-2.13862,5
24,52.56925,-2.16881,5
25,52.60491,-2.0953,5
26,52.60515,-2.09443,5
27,52.60188,-2.15511,5
28,52.53529,-2.13309,5
29,52.53502,-2.13401,5
30,52.54245,-2.12019,5
31,52.58512,-2.13303,5
32,52.58518,-2.13347,5
33,52.51625,-2.20174,5
34,52.5919,-2.12946,5
35,52.65046,-2.10967,5
36,52.61004,-2.13095,5
37,52.5179,-2.17505,5
38,52.51958,-2.17545,5
39,52.61006,-2.13135,5
40,52.56954,-2.06108,5
41,52.56966,-2.06067,5
42,52.63242,-2.15513,5
43,52.59886,-2.14197,5
44,52.59898,-2.14199,5
45,52.62054,-2.12801,5
46,52.62072,-2.12795,5
47,52.58652,-2.03587,5
48,52.56756,-2.10486,5
49,52.61895,-2.096,5
50,52.61869,-2.09589,5
51,52.60383,-2.07996,5
52,52.60046,-2.1593,5
53,52.60055,-2.15948,5
54,52.58565,-2.10246,5
55,52.58536,-2.10279,5
56,52.53116,-2.20448,5
57,52.58416,-2.14569,5
58,52.58422,-2.14579,5
59,52.5296,-2.10627,5
60,52.57534,-2.0663,5
61,52.57578,-2.06729,5
62,52.59543,-2.12996,5
63,52.59545,-2.12972,5
64,52.55396,-2.09412,5
65,52.60974,-2.11264,5
66,52.57501,-2.12397,5
67,52.57537,-2.12378,5
68,52.6258,-2.09157,5
69,52.62617,-2.09188,5
70,52.65696,-2.13369,5
71,52.65678,-2.13359,5
72,52.59888,-2.13938,5
73,52.59205,-2.05304,5
74,52.56932,-2.16894,5
75,52.6097,-2.10183,5
76,52.6104,-2.1013,5
77,52.59953,-2.15213,5
78,52.59944,-2.15196,5
79,52.52841,-2.14621,5
80,52.5291,-2.14576,5
81,52.54964,-2.11059,5
82,52.6318,-2.09227,5
83,52.54022,-2.07604,5
84,52.60472,-2.11032,5
85,52.60482,-2.11039,5
86,52.53582,-2.18644,5
87,52.53568,-2.18672,5
88,52.5667,-2.10507,5
89,52.55871,-2.07372,5
90,52.55865,-2.07386,5
91,52.60361,-2.07879,5
92,52.62165,-2.04823,5
93,52.62164,-2.04854,5
94,52.52423,-2.1295,5
95,52.58315,-2.1484,5
96,52.54057,-2.08714,5
97,52.56448,-2.12134,5
98,52.51941,-2.13774,5
99,52.53723,-2.09342,5
100,52.57907,-2.07792,5
101,52.56311,-2.12026,5
102,52.53454,-2.18468,5
103,52.57329,-2.05858,5
104,52.61145,-2.09173,5
105,52.61172,-2.09179,5
106,52.59752,-2.14848,5
107,52.53112,-2.14277,5
108,52.53101,-2.14271,5
109,52.66735,-2.13187,5
110,52.59324,-2.10328,5
111,52.59366,-2.10194,5
112,52.55431,-2.12462,5
113,52.55373,-2.12435,5
114,52.56332,-2.13268,5
115,52.58358,-2.13025,5
116,52.58374,-2.13025,5
117,52.60435,-2.0721,5
118,52.58352,-2.08652,5
119,52.5837,-2.08661,5
120,52.60578,-2.12838,5
121,52.53369,-2.18571,5
122,52.62727,-2.11537,5
123,52.57538,-2.05603,5
124,52.56459,-2.12027,5
125,52.56482,-2.12091,5
126,52.57654,-2.08342,5
127,52.61301,-2.11254,5
128,52.58743,-2.04936,5
129,52.56676,-2.10742,5
130,52.60292,-2.11511,5
131,52.61996,-2.11505,5
132,52.61989,-2.11532,5
133,52.58012,-2.11417,5
134,52.5569,-2.15635,5
135,52.59689,-2.09512,5
136,52.5401,-2.08786,5
137,52.58174,-2.15012,5
138,52.58934,-2.0462,5
139,52.53708,-2.13088,5
140,52.53758,-2.11438,5
141,52.53713,-2.11385,5
142,52.57811,-2.06626,5
143,52.64217,-2.08655,5
144,52.55424,-2.10074,5
145,52.62515,-2.13808,5
146,52.58212,-2.19783,5
147,52.57667,-2.12169,5
148,52.57239,-2.13954,5
149,52.57316,-2.13836,5
150,52.61787,-2.1183,5
151,52.57396,-2.10394,5
152,52.59613,-2.16396,5
153,52.55066,-2.06759,5
154,52.55064,-2.0673,5
155,52.56816,-2.16591,5
156,52.56829,-2.16581,5
157,52.61261,-2.07299,5
158,52.61278,-2.07182,5
159,52.6026,-2.10588,5
160,52.60272,-2.10565,5
161,52.61565,-2.15791,5
162,52.60757,-2.09218,5
163,52.6074,-2.09227,5
164,52.59344,-2.10576,5
165,52.59321,-2.10574,5
166,52.55511,-2.12521,5
167,52.54732,-2.08081,5
168,52.60785,-2.06018,5
169,52.60772,-2.06009,5
170,52.58207,-2.087,5
171,52.58198,-2.08687,5
172,52.60867,-2.05669,5
173,52.61721,-2.1366,5
174,52.61734,-2.13635,5
175,52.57271,-2.0629,5
176,52.57789,-2.19069,5
177,52.56659,-2.12223,5
178,52.62746,-2.12457,5
179,52.5752,-2.08359,5
180,52.57517,-2.08336,5
181,52.61954,-2.04671,5
182,52.61942,-2.04681,5
183,52.58605,-2.03854,5
184,52.58592,-2.03864,5
185,52.54603,-2.22055,5
186,52.55414,-2.15631,5
187,52.5545,-2.15621,5
188,52.52104,-2.13183,5
189,52.53941,-2.12854,5
190,52.6115,-2.16104,5
191,52.56831,-2.14394,5
192,52.569,-2.14344,5
193,52.59911,-2.15212,5
194,52.59892,-2.15201,5
195,52.53334,-2.11896,5
196,52.53253,-2.11889,5
197,52.58224,-2.19356,5
198,52.58245,-2.19334,5
199,52.53668,-2.11183,5
200,52.55202,-2.09924,5
201,52.62317,-2.18216,5
202,52.6231,-2.1822,5
203,52.55383,-2.06288,5
204,52.55393,-2.06322,5
205,52.58477,-2.11865,5
206,52.58457,-2.1194,5
207,52.62388,-2.12084,5
208,52.62413,-2.12109,5
209,52.54765,-2.08065,5
210,52.59298,-2.14043,5
211,52.55261,-2.06734,5
212,52.55261,-2.06714,5
213,52.57032,-2.16272,5
214,52.57013,-2.16258,5
215,52.59054,-2.07536,5
216,52.59047,-2.07559,5
217,52.59454,-2.12052,5
218,52.59509,-2.11923,5
219,52.59141,-2.04408,5
220,52.60271,-2.15641,5
221,52.60301,-2.15694,5
222,52.52532,-2.14859,5
223,52.52512,-2.14804,5
224,52.59276,-2.10824,5
225,52.5925,-2.10813,5
226,52.59655,-2.08867,5
227,52.55667,-2.12195,5
228,52.55662,-2.12175,5
229,52.55694,-2.15157,5
230,52.62949,-2.13745,5
231,52.62974,-2.1376,5
232,52.5901,-2.18174,5
233,52.5901,-2.18159,5
234,52.58517,-2.08882,5
235,52.58497,-2.08813,5
236,52.57436,-2.06232,5
237,52.62561,-2.12042,5
238,52.56918,-2.11808,5
239,52.56926,-2.1178,5
240,52.6216,-2.13203,5
241,52.58692,-2.03475,5
242,52.58861,-2.04778,5
243,52.5786,-2.12168,5
244,52.57923,-2.1215,5
245,52.6149,-2.05416,5
246,52.59715,-2.19775,5
247,52.60329,-2.17923,5
248,52.5495,-2.09242,5
249,52.5768,-2.1851,5
250,52.5992,-2.11093,5
251,52.59907,-2.11053,5
252,52.60028,-2.14983,5
253,52.60011,-2.14985,5
254,52.61996,-2.12587,5
255,52.62004,-2.12668,5
256,52.57975,-2.16738,5
257,52.57965,-2.16792,5
258,52.62706,-2.19199,5
259,52.62714,-2.1921,5
260,52.59869,-2.10644,5
261,52.59868,-2.10644,5
262,52.58219,-2.19806,5
263,52.51901,-2.13046,5
264,52.53933,-2.11939,5
265,52.54123,-2.17558,5
266,52.63428,-2.1166,5
267,52.58476,-2.11682,5
268,52.5848,-2.1161,5
269,52.59785,-2.07282,5
270,52.59803,-2.0731,5
271,52.63423,-2.11124,5
272,52.62024,-2.07706,5
273,52.54588,-2.07735,5
274,52.54588,-2.07757,5
275,52.58938,-2.17316,5
276,52.60393,-2.18119,5
277,52.58627,-2.13237,5
278,52.58378,-2.17174,5
279,52.58389,-2.17159,5
280,52.55732,-2.10833,5
281,52.55731,-2.10853,5
282,52.62897,-2.13281,5
283,52.58416,-2.13177,5
284,52.58895,-2.17952,5
285,52.58903,-2.17994,5
286,52.59462,-2.14127,5
287,52.59358,-2.14179,5
288,52.61175,-2.06667,5
289,52.52953,-2.20574,5
290,52.60391,-2.11269,5
291,52.57362,-2.07717,5
292,52.54262,-2.09284,5
293,52.54267,-2.09293,5
294,52.56033,-2.10912,5
295,52.57355,-2.13121,5
296,52.59116,-2.11119,5
297,52.61902,-2.05507,5
298,52.58087,-2.14422,5
299,52.59097,-2.15151,5
300,52.59017,-2.15039,5
301,52.54758,-2.1348,5
302,52.54783,-2.13461,5
303,52.58647,-2.17202,5
304,52.53534,-2.10556,5
305,52.53542,-2.10521,5
306,52.56305,-2.14419,5
307,52.51452,-2.13243,5
308,52.67231,-2.12976,5
309,52.67285,-2.13069,5
310,52.67169,-2.1307,5
311,52.67271,-2.13133,5
312,52.62916,-2.13358,5
313,52.60918,-2.08976,5
314,52.6283,-2.12836,5
315,52.62812,-2.12758,5
316,52.58244,-2.17175,5
317,52.58225,-2.17194,5
318,52.58425,-2.13089,5
319,52.58583,-2.16478,5
320,52.58594,-2.1644,5
321,52.59923,-2.10125,5
322,52.59927,-2.10149,5
323,52.66055,-2.13604,5
324,52.66051,-2.1359,5
325,52.61777,-2.1565,5
326,52.61789,-2.15695,5
327,52.62601,-2.17967,5
328,52.62609,-2.17959,5
329,52.55169,-2.09967,5
330,52.52857,-2.22211,5
331,52.56888,-2.14598,5
332,52.56871,-2.14455,5
333,52.59834,-2.07034,5
334,52.59811,-2.06868,5
335,52.64685,-2.08556,5
336,52.56984,-2.13335,5
337,52.56959,-2.13335,5
338,52.61394,-2.11923,5
339,52.61395,-2.11947,5
340,52.62735,-2.17674,5
341,52.62749,-2.17671,5
342,52.52852,-2.11645,5
343,52.55175,-2.15476,5
344,52.55182,-2.15464,5
345,52.54709,-2.07782,5
346,52.50586,-2.19717,5
347,52.59817,-2.08938,5
348,52.60719,-2.15122,5
349,52.54412,-2.09157,5
350,52.54426,-2.09197,5
351,52.59011,-2.11481,5
352,52.59006,-2.11447,5
353,52.5474,-2.10802,5
354,52.61138,-2.20431,5
355,52.61148,-2.20404,5
356,52.58515,-2.14168,5
357,52.5921,-2.18368,5
358,52.62753,-2.05921,5
359,52.52511,-2.20077,5
360,52.54024,-2.13642,5
361,52.54045,-2.13642,5
362,52.61254,-2.10247,5
363,52.57151,-2.07795,5
364,52.57179,-2.0777,5
365,52.60116,-2.12971,5
366,52.56689,-2.11534,5
367,52.56678,-2.11639,5
368,52.61993,-2.05847,5
369,52.57316,-2.08971,5
370,52.55884,-2.14682,5
371,52.6002,-2.20448,5
372,52.6006,-2.20522,5
373,52.5927,-2.15381,5
374,52.59309,-2.15399,5
375,52.64325,-2.0893,5
376,52.64313,-2.08885,5
377,52.57409,-2.07756,5
378,52.56035,-2.15396,5
379,52.56048,-2.15417,5
380,52.56088,-2.15302,5
381,52.58396,-2.13182,5
382,52.61961,-2.12349,5
383,52.60889,-2.08994,5
384,52.55862,-2.17053,5
385,52.58652,-2.15944,5
386,52.56747,-2.16536,5
387,52.66427,-2.13587,5
388,52.66427,-2.13578,5
389,52.58932,-2.13316,5
390,52.58953,-2.13321,5
391,52.52616,-2.11152,5
392,52.5262,-2.11123,5
393,52.61379,-2.09641,5
394,52.61397,-2.09609,5
395,52.56473,-2.09362,5
396,52.5497,-2.10633,5
397,52.55011,-2.1053,5
398,52.56011,-2.10926,5
399,52.57259,-2.14804,5
400,52.59806,-2.06532,5
401,52.59791,-2.06507,5
402,52.52387,-2.12462,5
403,52.53324,-2.19625,5
404,52.53338,-2.19526,5
405,52.59188,-2.053,5
406,52.57922,-2.17376,5
407,52.6439,-2.09598,5
408,52.6603,-2.13842,5
409,52.66039,-2.13831,5
410,52.59116,-2.18325,5
411,52.57781,-2.10923,5
412,52.57731,-2.10779,5
413,52.6192,-2.09898,5
414,52.61923,-2.09838,5
415,52.5841,-2.08624,5
416,52.57947,-2.09033,5
417,52.57888,-2.09082,5
418,52.598,-2.20845,5
419,52.62282,-2.11456,5
420,52.55818,-2.15506,5
421,52.57426,-2.121,5
422,52.57412,-2.12115,5
423,52.51424,-2.20256,5
424,52.51463,-2.20277,5
425,52.56703,-2.10989,5
426,52.56685,-2.10978,5
427,52.5718,-2.14504,5
428,52.61076,-2.11466,5
429,52.64754,-2.08345,5
430,52.64742,-2.08327,5
431,52.61937,-2.06173,5
432,52.5751,-2.09028,5
433,52.55625,-2.14875,5
434,52.62282,-2.09061,5
435,52.62329,-2.09088,5
436,52.596,-2.15747,5
437,52.64335,-2.0927,5
438,52.64346,-2.09277,5
439,52.58847,-2.16163,5
440,52.58863,-2.16168,5
441,52.56161,-2.1516,5
442,52.5622,-2.15108,5
443,52.58347,-2.09437,5
444,52.6202,-2.20151,5
445,52.54747,-2.09509,5
446,52.57744,-2.15511,5
447,52.60721,-2.15141,5
448,52.63505,-2.12485,5
449,52.63485,-2.12544,5
450,52.58526,-2.17896,5
451,52.53576,-2.09548,5
452,52.53593,-2.09568,5
453,52.58658,-2.1537,5
454,52.58647,-2.15349,5
455,52.61951,-2.09254,5
456,52.61973,-2.09244,5
457,52.58651,-2.20539,5
458,52.58659,-2.20555,5
459,52.62065,-2.12953,5
460,52.62034,-2.12992,5
461,52.52118,-2.12225,5
462,52.52113,-2.12261,5
463,52.63162,-2.0922,5
464,52.52066,-2.14012,5
465,52.52079,-2.14013,5
466,52.55089,-2.10505,5
467,52.55107,-2.10549,5
468,52.595,-2.15023,5
469,52.59503,-2.14959,5
