ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,8,2,2,4,4.191
2,8,2,2,4,4.191
2,8,2,2,4,4.191
2,8,2,2,4,4.191
5,6,2,2,1,0.839
5,6,2,2,1,0.839
5,6,2,2,1,0.839
5,6,2,2,1,0.839
5,6,2,2,1,0.839
5,6,2,2,1,0.839
6,5,2,2,1,0.839
6,5,2,2,1,0.839
6,5,2,2,1,0.839
6,5,2,2,1,0.839
6,5,2,2,1,0.839
6,5,2,2,1,0.839
6,7,2,2,8,10.21
6,7,2,2,8,10.21
6,7,2,2,8,10.21
6,7,2,2,8,10.21
6,7,2,2,8,10.21
6,7,2,2,8,10.21
7,6,2,2,7,10.21
7,6,2,2,7,10.21
7,6,2,2,7,10.21
7,6,2,2,7,10.21
7,6,2,2,7,10.21
7,6,2,2,7,10.21
7,8,2,2,2,1.799
7,8,2,2,2,1.799
7,8,2,2,2,1.799
7,8,2,2,2,1.799
8,2,2,2,4,4.191
8,2,2,2,4,4.191
8,2,2,2,4,4.191
8,2,2,2,4,4.191
8,6,2,2,11,11.567
8,6,2,2,11,11.567
8,6,2,2,11,11.567
8,6,2,2,11,11.567
8,6,2,2,11,11.567
8,6,2,2,11,11.567
8,7,2,2,1,1.799
8,7,2,2,1,1.799
8,7,2,2,1,1.799
8,7,2,2,1,1.799
1,3,4,4,5,2.286
1,3,4,4,5,2.286
1,3,4,4,5,2.286
1,3,4,4,5,2.286
1,678,4,4,5,3.526
1,678,4,4,5,3.526
1,678,4,4,5,3.526
1,678,4,4,5,3.526
3,1,4,4,3,2.286
3,1,4,4,3,2.286
3,1,4,4,3,2.286
3,1,4,4,3,2.286
3,4,4,4,5,4.773
3,4,4,4,5,4.773
3,4,4,4,5,4.773
3,4,4,4,5,4.773
3,6,4,4,20,9.647
3,6,4,4,20,9.647
3,6,4,4,20,9.647
3,6,4,4,20,9.647
3,6,4,4,20,9.647
3,6,4,4,20,9.647
4,3,4,4,5,4.773
4,3,4,4,5,4.773
4,3,4,4,5,4.773
4,3,4,4,5,4.773
4,6,4,4,10,4.951
4,6,4,4,10,4.951
4,6,4,4,10,4.951
4,6,4,4,10,4.951
4,6,4,4,10,4.951
4,6,4,4,10,4.951
6,3,4,4,17,9.647
6,3,4,4,17,9.647
6,3,4,4,17,9.647
6,3,4,4,17,9.647
6,3,4,4,17,9.647
6,3,4,4,17,9.647
6,4,4,4,10,4.951
6,4,4,4,10,4.951
6,4,4,4,10,4.951
6,4,4,4,10,4.951
6,4,4,4,10,4.951
6,4,4,4,10,4.951
678,1,4,4,5,3.526
678,1,4,4,5,3.526
678,1,4,4,5,3.526
678,1,4,4,5,3.526
1,273,5,5,1,0.355
1,273,5,5,1,0.355
1,361,5,5,1,0.265
1,361,5,5,1,0.265
1,593,5,5,4,2.094
1,593,5,5,4,2.094
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,288,5,5,1,0.318
2,288,5,5,1,0.318
2,515,5,5,1,0.452
2,515,5,5,1,0.452
3,7,5,5,1,0.574
3,7,5,5,1,0.574
3,7,5,5,1,0.574
3,7,5,5,1,0.574
3,17,5,5,1,0.427
3,17,5,5,1,0.427
3,19,5,5,1,0.399
3,19,5,5,1,0.399
3,389,5,5,1,1.432
3,389,5,5,1,1.432
3,445,5,5,1,0.649
3,445,5,5,1,0.649
4,105,5,5,1,0.409
4,105,5,5,1,0.409
4,319,5,5,1,0.532
4,319,5,5,1,0.532
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,86,5,5,1,0.554
5,86,5,5,1,0.554
5,257,5,5,1,0.401
5,257,5,5,1,0.401
5,328,5,5,10,1.524
5,328,5,5,10,1.524
5,331,5,5,1,0.444
5,331,5,5,1,0.444
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,55,5,5,1,1.042
6,55,5,5,1,1.042
6,55,5,5,1,1.042
6,101,5,5,2,0.6
6,101,5,5,2,0.6
6,101,5,5,2,0.6
6,108,5,5,3,0.288
6,108,5,5,3,0.288
6,108,5,5,3,0.288
6,109,5,5,2,0.303
6,109,5,5,2,0.303
6,109,5,5,2,0.303
6,144,5,5,1,0.296
6,144,5,5,1,0.296
6,144,5,5,1,0.296
6,146,5,5,2,0.322
6,146,5,5,2,0.322
6,146,5,5,2,0.322
6,160,5,5,1,0.293
6,160,5,5,1,0.293
6,160,5,5,1,0.293
6,313,5,5,1,0.58
6,313,5,5,1,0.58
6,313,5,5,1,0.58
6,367,5,5,1,0.317
6,367,5,5,1,0.317
6,367,5,5,1,0.317
6,368,5,5,2,0.256
6,368,5,5,2,0.256
6,368,5,5,2,0.256
6,583,5,5,2,0.333
6,583,5,5,2,0.333
6,583,5,5,2,0.333
6,623,5,5,1,0.254
6,623,5,5,1,0.254
6,623,5,5,1,0.254
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,15,5,5,3,0.589
7,15,5,5,3,0.589
7,445,5,5,1,0.277
7,445,5,5,1,0.277
7,446,5,5,1,0.492
7,446,5,5,1,0.492
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,356,5,5,1,0.418
8,356,5,5,1,0.418
8,363,5,5,2,0.575
8,363,5,5,2,0.575
8,371,5,5,1,0.345
8,371,5,5,1,0.345
8,393,5,5,2,0.584
8,393,5,5,2,0.584
9,173,5,5,1,0.374
10,405,5,5,1,0.196
10,406,5,5,1,0.396
11,165,5,5,1,0.184
12,45,5,5,1,0.285
13,10,5,5,1,0.222
14,270,5,5,1,0.461
15,683,5,5,1,0.514
16,644,5,5,1,0.288
17,215,5,5,1,0.303
18,3,5,5,1,0.306
18,3,5,5,1,0.306
19,15,5,5,1,0.19
20,446,5,5,1,0.36
21,413,5,5,1,0.182
21,681,5,5,1,0.221
22,16,5,5,1,0.226
23,247,5,5,1,0.551
23,312,5,5,3,0.152
24,82,5,5,1,0.322
25,26,5,5,1,0.231
26,300,5,5,1,0.351
27,24,5,5,1,0.21
28,30,5,5,1,0.22
29,689,5,5,1,0.198
30,25,5,5,1,0.372
30,249,5,5,1,0.189
31,193,5,5,1,0.983
31,294,5,5,1,0.477
32,545,5,5,1,0.351
33,409,5,5,20,2.66
33,518,5,5,6,1.42
34,404,5,5,2,0.661
34,447,5,5,1,0.429
35,34,5,5,1,0.319
35,223,5,5,1,0.312
36,37,5,5,1,0.346
36,223,5,5,2,0.615
37,39,5,5,1,0.272
38,112,5,5,1,0.233
39,41,5,5,1,0.291
40,98,5,5,1,0.184
40,131,5,5,1,0.487
41,99,5,5,1,0.144
42,43,5,5,1,0.244
43,578,5,5,1,0.358
44,202,5,5,1,0.209
45,13,5,5,1,0.864
45,197,5,5,6,0.956
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
45,352,5,5,5,1.342
46,51,5,5,1,0.284
47,421,5,5,1,0.51
47,502,5,5,1,0.437
48,49,5,5,1,0.143
49,47,5,5,1,0.26
49,121,5,5,2,0.55
50,48,5,5,1,0.244
51,53,5,5,1,0.174
52,50,5,5,1,0.278
53,365,5,5,1,0.371
54,583,5,5,5,0.676
55,52,5,5,1,0.348
55,208,5,5,1,0.339
55,430,5,5,1,0.352
55,620,5,5,1,0.358
56,546,5,5,1,0.29
56,549,5,5,1,0.249
57,152,5,5,1,0.307
57,415,5,5,1,0.57
58,32,5,5,2,0.764
59,512,5,5,1,0.136
60,706,5,5,1,0.15
61,59,5,5,1,0.146
62,64,5,5,1,0.172
63,98,5,5,1,0.122
64,63,5,5,1,0.268
65,61,5,5,1,0.301
66,509,5,5,1,0.496
67,227,5,5,1,0.101
67,262,5,5,1,0.333
67,496,5,5,1,0.212
68,673,5,5,3,0.595
68,675,5,5,1,0.225
69,196,5,5,1,0.881
70,186,5,5,1,0.514
71,619,5,5,1,0.299
72,299,5,5,1,0.251
73,371,5,5,2,0.413
74,679,5,5,1,0.309
75,393,5,5,2,0.351
76,371,5,5,1,0.55
77,217,5,5,2,0.993
77,577,5,5,1,0.346
78,211,5,5,2,0.749
78,271,5,5,5,0.593
78,392,5,5,1,0.269
79,114,5,5,3,0.442
79,116,5,5,1,0.285
80,599,5,5,1,0.199
81,340,5,5,3,1.144
81,504,5,5,2,0.591
82,29,5,5,1,0.338
83,707,5,5,1,0.227
84,130,5,5,1,0.219
85,100,5,5,1,0.2
86,213,5,5,1,0.202
86,617,5,5,1,0.249
87,5,5,5,1,0.629
87,5,5,5,1,0.629
88,87,5,5,1,0.297
89,166,5,5,2,0.411
90,272,5,5,1,0.479
90,407,5,5,3,0.33
91,85,5,5,1,0.374
91,407,5,5,1,0.321
92,450,5,5,1,0.695
92,518,5,5,1,0.535
92,699,5,5,1,0.176
93,340,5,5,5,2.409
93,353,5,5,2,0.94
94,46,5,5,1,0.248
95,552,5,5,1,0.235
96,255,5,5,2,0.552
96,609,5,5,1,0.374
97,603,5,5,1,0.24
98,38,5,5,1,0.196
99,65,5,5,1,0.119
99,84,5,5,1,0.23
99,131,5,5,1,0.34
100,40,5,5,1,0.295
101,6,5,5,2,0.6
101,6,5,5,2,0.6
101,6,5,5,2,0.6
101,220,5,5,1,0.4
101,313,5,5,9,1.176
102,478,5,5,1,0.223
102,506,5,5,1,0.301
103,33,5,5,10,1.394
103,450,5,5,2,0.493
103,533,5,5,1,0.465
104,271,5,5,2,0.233
105,669,5,5,1,0.777
106,346,5,5,1,0.87
107,458,5,5,1,0.333
108,55,5,5,3,0.754
108,313,5,5,1,0.509
109,55,5,5,1,0.739
109,120,5,5,2,0.731
109,313,5,5,1,0.515
110,56,5,5,1,0.379
111,490,5,5,1,0.765
112,35,5,5,1,0.203
113,628,5,5,1,0.304
114,634,5,5,1,0.188
115,78,5,5,1,0.192
116,113,5,5,1,0.23
117,115,5,5,1,0.327
118,31,5,5,1,1.293
118,194,5,5,1,0.79
118,649,5,5,8,1.421
119,181,5,5,1,0.469
120,487,5,5,1,0.235
121,53,5,5,3,0.565
122,6,5,5,2,1.001
122,6,5,5,2,1.001
122,6,5,5,2,1.001
122,109,5,5,7,0.699
122,142,5,5,2,0.742
122,143,5,5,3,0.723
123,560,5,5,1,0.31
124,62,5,5,1,0.143
125,289,5,5,1,0.231
126,290,5,5,1,0.256
126,291,5,5,1,0.269
127,129,5,5,1,0.225
128,84,5,5,1,0.595
128,98,5,5,2,0.366
128,127,5,5,1,0.221
129,37,5,5,1,0.205
130,90,5,5,1,0.16
131,178,5,5,1,0.345
132,336,5,5,1,0.15
133,132,5,5,1,0.378
133,336,5,5,1,0.498
134,42,5,5,1,0.372
135,192,5,5,1,0.272
136,473,5,5,1,0.32
137,396,5,5,1,0.262
138,141,5,5,1,0.359
139,395,5,5,1,0.458
140,627,5,5,1,0.464
141,14,5,5,1,0.598
142,313,5,5,1,0.482
143,6,5,5,1,0.277
143,6,5,5,1,0.277
143,6,5,5,1,0.277
144,6,5,5,1,0.296
144,6,5,5,1,0.296
144,6,5,5,1,0.296
145,6,5,5,1,0.311
145,6,5,5,1,0.311
145,6,5,5,1,0.311
146,55,5,5,2,0.72
147,384,5,5,1,0.243
148,321,5,5,1,0.227
149,341,5,5,1,0.251
150,151,5,5,1,0.239
151,390,5,5,1,0.495
152,150,5,5,1,0.251
153,119,5,5,1,0.457
154,297,5,5,3,0.922
155,479,5,5,2,1.092
156,544,5,5,1,0.148
157,279,5,5,1,0.321
157,280,5,5,4,0.507
157,347,5,5,1,0.362
157,401,5,5,1,0.202
158,609,5,5,1,0.283
159,162,5,5,1,0.338
160,101,5,5,1,0.307
160,366,5,5,1,0.236
161,6,5,5,1,0.341
