nodeid,lat,lon,layer
1,52.11072,-2.32989,4
1,52.11072,-2.32989,5
2,52.07988,-2.35696,5
2,52.07988,-2.35696,2
3,52.1286,-2.31325,4
3,52.1286,-2.31325,5
4,52.1576,-2.26153,4
4,52.1576,-2.26153,5
5,52.19474,-2.20942,5
5,52.19474,-2.20942,2
6,52.19493,-2.22175,4
6,52.19493,-2.22175,2
6,52.19493,-2.22175,5
7,52.12539,-2.31986,2
7,52.12539,-2.31986,5
8,52.10921,-2.31828,5
8,52.10921,-2.31828,2
9,52.21972,-2.23273,5
10,52.19612,-2.17565,5
11,52.20106,-2.18352,5
12,52.20585,-2.17416,5
13,52.19698,-2.1727,5
14,52.22189,-2.25397,5
15,52.12338,-2.31185,5
16,52.1179,-2.30237,5
17,52.13126,-2.30871,5
18,52.13034,-2.30975,5
19,52.12502,-2.31267,5
20,52.12508,-2.31293,5
21,52.1158,-2.30323,5
22,52.11597,-2.30343,5
23,52.18686,-2.21621,5
24,52.18228,-2.21769,5
25,52.18183,-2.21774,5
26,52.18389,-2.21827,5
27,52.18416,-2.21804,5
28,52.177,-2.21413,5
29,52.17685,-2.21373,5
30,52.1789,-2.21507,5
31,52.16477,-2.17166,5
32,52.15647,-2.17461,5
33,52.18069,-2.20931,5
34,52.21513,-2.18499,5
35,52.21455,-2.18959,5
36,52.21488,-2.18476,5
37,52.21486,-2.18985,5
38,52.21097,-2.18722,5
39,52.21289,-2.18746,5
40,52.20805,-2.18584,5
41,52.21027,-2.1871,5
42,52.21855,-2.22696,5
43,52.21645,-2.2259,5
44,52.22337,-2.22265,5
45,52.20464,-2.17045,5
46,52.17978,-2.23719,5
47,52.17779,-2.23614,5
48,52.18135,-2.23656,5
49,52.18008,-2.23696,5
50,52.18354,-2.23622,5
51,52.18232,-2.23661,5
52,52.18604,-2.23595,5
53,52.18389,-2.2365,5
54,52.18819,-2.2316,5
55,52.18869,-2.2332,5
56,52.21169,-2.2057,5
57,52.12847,-2.32562,5
58,52.14983,-2.17166,5
59,52.20533,-2.19193,5
60,52.20352,-2.19147,5
61,52.20582,-2.18993,5
62,52.20549,-2.19182,5
63,52.20815,-2.18735,5
64,52.20613,-2.18951,5
65,52.20798,-2.18725,5
66,52.20339,-2.19219,5
67,52.18152,-2.20751,5
68,52.17597,-2.19924,5
69,52.13902,-2.29947,5
70,52.19405,-2.19029,5
71,52.19208,-2.24124,5
72,52.19227,-2.24127,5
73,52.11048,-2.31518,5
74,52.11134,-2.30807,5
75,52.11142,-2.30777,5
76,52.1134,-2.31307,5
77,52.11354,-2.31368,5
78,52.10864,-2.30828,5
79,52.109,-2.3078,5
80,52.106,-2.3023,5
81,52.15382,-2.1955,5
82,52.17971,-2.21547,5
83,52.18683,-2.21589,5
84,52.20791,-2.18483,5
85,52.20465,-2.18401,5
86,52.19769,-2.20284,5
87,52.19779,-2.20162,5
88,52.19878,-2.19755,5
89,52.19905,-2.19643,5
90,52.20511,-2.18298,5
91,52.20198,-2.18738,5
92,52.18192,-2.19543,5
93,52.12558,-2.21822,5
94,52.17762,-2.23626,5
95,52.2079,-2.2261,5
96,52.20872,-2.22514,5
97,52.19643,-2.2461,5
98,52.20923,-2.18775,5
99,52.20902,-2.18769,5
100,52.20625,-2.18265,5
101,52.19997,-2.22496,5
102,52.20551,-2.21034,5
103,52.17947,-2.18893,5
104,52.10188,-2.30656,5
105,52.15797,-2.25555,5
106,52.14564,-2.29108,5
107,52.18947,-2.19381,5
108,52.19328,-2.22502,5
109,52.19323,-2.22524,5
110,52.21197,-2.20014,5
111,52.21677,-2.21976,5
112,52.21303,-2.18793,5
113,52.11255,-2.30309,5
114,52.10926,-2.30133,5
115,52.10923,-2.30562,5
116,52.11072,-2.30468,5
117,52.11186,-2.30346,5
118,52.17364,-2.18397,5
119,52.13963,-2.21751,5
120,52.18896,-2.23342,5
121,52.18215,-2.2443,5
122,52.18882,-2.23257,5
123,52.2057,-2.20044,5
124,52.20568,-2.19391,5
125,52.0778,-2.36332,5
126,52.07766,-2.36326,5
127,52.21126,-2.19104,5
128,52.20971,-2.19308,5
129,52.21328,-2.19143,5
130,52.20653,-2.18251,5
131,52.20941,-2.19265,5
132,52.20576,-2.17454,5
133,52.20405,-2.16973,5
134,52.22181,-2.22827,5
135,52.22191,-2.22853,5
136,52.20785,-2.20481,5
137,52.21335,-2.24987,5
138,52.21359,-2.25015,5
139,52.20709,-2.24429,5
140,52.21023,-2.24773,5
141,52.21673,-2.25144,5
142,52.19326,-2.22442,5
143,52.19322,-2.22473,5
144,52.19315,-2.22499,5
145,52.1931,-2.22522,5
146,52.19306,-2.22538,5
147,52.1838,-2.24912,5
148,52.12982,-2.33212,5
149,52.13076,-2.33215,5
150,52.12526,-2.32579,5
151,52.12337,-2.32409,5
152,52.12653,-2.32884,5
153,52.14369,-2.21638,5
154,52.1337,-2.21503,5
155,52.14621,-2.21559,5
156,52.18706,-2.24535,5
157,52.1314,-2.30306,5
158,52.20812,-2.22685,5
159,52.2079,-2.2271,5
160,52.19734,-2.22353,5
161,52.19777,-2.22367,5
162,52.21094,-2.22669,5
163,52.21027,-2.22674,5
164,52.07172,-2.3337,5
165,52.20272,-2.18355,5
166,52.19973,-2.19048,5
167,52.19892,-2.19476,5
168,52.18499,-2.2056,5
169,52.19961,-2.19037,5
170,52.21181,-2.22309,5
171,52.21318,-2.22039,5
172,52.21298,-2.21716,5
173,52.22309,-2.23265,5
174,52.19876,-2.24669,5
175,52.2263,-2.20662,5
176,52.21148,-2.2091,5
177,52.21113,-2.19638,5
178,52.21116,-2.19685,5
179,52.19366,-2.18726,5
180,52.18862,-2.20767,5
181,52.13564,-2.21522,5
182,52.20234,-2.19862,5
183,52.18621,-2.24009,5
184,52.12521,-2.30012,5
185,52.19434,-2.20431,5
186,52.19454,-2.19781,5
187,52.19468,-2.19675,5
188,52.19469,-2.20187,5
189,52.08953,-2.33396,5
190,52.23034,-2.18979,5
191,52.23011,-2.18977,5
192,52.22436,-2.22843,5
193,52.16017,-2.15932,5
194,52.16743,-2.1783,5
195,52.154,-2.27716,5
196,52.14543,-2.29184,5
197,52.21208,-2.16336,5
198,52.20283,-2.24163,5
199,52.18185,-2.2664,5
200,52.10575,-2.32975,5
201,52.17351,-2.23999,5
202,52.22172,-2.22414,5
203,52.19488,-2.23332,5
204,52.19557,-2.23397,5
205,52.20208,-2.24078,5
206,52.20684,-2.1781,5
207,52.20523,-2.17688,5
208,52.18823,-2.23813,5
209,52.18745,-2.24256,5
210,52.19222,-2.25628,5
211,52.10201,-2.3062,5
212,52.20532,-2.21105,5
213,52.19871,-2.20038,5
214,52.14714,-2.21542,5
215,52.13288,-2.30513,5
216,52.12053,-2.30478,5
217,52.12071,-2.30496,5
218,52.19456,-2.20238,5
219,52.22986,-2.22413,5
220,52.20343,-2.22663,5
221,52.18443,-2.20941,5
222,52.18243,-2.21903,5
223,52.21586,-2.19366,5
224,52.20703,-2.1783,5
225,52.18083,-2.20781,5
226,52.17764,-2.20117,5
227,52.18062,-2.20724,5
228,52.25238,-2.22731,5
229,52.0909,-2.33939,5
230,52.09092,-2.33917,5
231,52.08492,-2.35226,5
232,52.0849,-2.35261,5
233,52.2137,-2.19806,5
234,52.21131,-2.19915,5
235,52.21776,-2.21757,5
236,52.1996,-2.18113,5
237,52.20056,-2.17939,5
238,52.20067,-2.1794,5
239,52.2142,-2.17407,5
240,52.21329,-2.16534,5
241,52.21235,-2.16373,5
242,52.20829,-2.17346,5
243,52.20855,-2.17553,5
244,52.20867,-2.17578,5
245,52.16442,-2.19964,5
246,52.16489,-2.19965,5
247,52.19175,-2.21762,5
248,52.16704,-2.21398,5
249,52.1795,-2.21768,5
250,52.18311,-2.20047,5
251,52.18351,-2.2011,5
252,52.18578,-2.21282,5
253,52.1855,-2.20879,5
254,52.18475,-2.20537,5
255,52.20382,-2.22658,5
256,52.22441,-2.255,5
257,52.19463,-2.20353,5
258,52.20132,-2.21047,5
259,52.19805,-2.21354,5
260,52.20895,-2.20193,5
261,52.19016,-2.20909,5
262,52.18433,-2.20923,5
263,52.21879,-2.22122,5
264,52.08784,-2.34226,5
265,52.08809,-2.34445,5
266,52.08802,-2.34618,5
267,52.08718,-2.34278,5
268,52.14008,-2.21806,5
269,52.11514,-2.30325,5
270,52.22592,-2.25566,5
271,52.10332,-2.30906,5
272,52.20174,-2.18738,5
273,52.11392,-2.33014,5
274,52.10268,-2.32992,5
275,52.11812,-2.30245,5
276,52.11522,-2.32957,5
277,52.12518,-2.30079,5
278,52.12888,-2.30132,5
279,52.12877,-2.30107,5
280,52.12685,-2.30234,5
281,52.12727,-2.30253,5
282,52.17992,-2.21765,5
283,52.18129,-2.26038,5
284,52.17159,-2.20603,5
285,52.20301,-2.24403,5
286,52.18847,-2.2076,5
287,52.20368,-2.20807,5
288,52.07891,-2.36135,5
289,52.07932,-2.36099,5
290,52.07568,-2.36519,5
291,52.07546,-2.36494,5
292,52.09817,-2.31528,5
293,52.22777,-2.25667,5
294,52.16413,-2.16472,5
295,52.16031,-2.15989,5
296,52.16697,-2.17808,5
297,52.12558,-2.21791,5
298,52.19027,-2.23893,5
299,52.19057,-2.23883,5
300,52.187,-2.21731,5
301,52.20085,-2.22501,5
302,52.19438,-2.23573,5
303,52.14972,-2.17136,5
304,52.19739,-2.17203,5
305,52.18084,-2.21232,5
306,52.1606,-2.21561,5
307,52.15546,-2.21541,5
308,52.16193,-2.19625,5
309,52.18323,-2.19254,5
310,52.18812,-2.19578,5
311,52.10106,-2.34265,5
312,52.18742,-2.21826,5
313,52.18979,-2.22016,5
314,52.21294,-2.19826,5
315,52.19341,-2.18182,5
316,52.18235,-2.25658,5
317,52.18395,-2.24884,5
318,52.15775,-2.2558,5
319,52.15716,-2.26932,5
320,52.12787,-2.33177,5
321,52.1278,-2.33153,5
322,52.18873,-2.23816,5
323,52.18452,-2.18172,5
324,52.18302,-2.18599,5
325,52.18438,-2.18139,5
326,52.1858,-2.18056,5
327,52.18582,-2.1785,5
328,52.18229,-2.21888,5
329,52.18369,-2.15298,5
330,52.19039,-2.19361,5
331,52.19516,-2.21591,5
332,52.21337,-2.17064,5
333,52.21318,-2.1654,5
334,52.20999,-2.16974,5
335,52.20981,-2.16965,5
336,52.20544,-2.17669,5
337,52.2141,-2.17417,5
338,52.21349,-2.17057,5
339,52.18539,-2.20959,5
340,52.14608,-2.2066,5
341,52.13221,-2.32932,5
342,52.13219,-2.32964,5
343,52.13499,-2.30009,5
344,52.1575,-2.26898,5
345,52.15292,-2.27792,5
346,52.13931,-2.29861,5
347,52.1345,-2.30138,5
348,52.1485,-2.28365,5
349,52.18684,-2.24778,5
350,52.17663,-2.24234,5
351,52.07784,-2.33226,5
352,52.21608,-2.16408,4
352,52.21608,-2.16408,4
352,52.21608,-2.16408,5
352,52.21608,-2.16408,5
353,52.13386,-2.21532,5
354,52.18131,-2.21213,5
355,52.12009,-2.33286,5
356,52.1083,-2.31232,5
357,52.10913,-2.30159,5
358,52.20351,-2.24469,5
359,52.19547,-2.2437,5
360,52.11293,-2.32738,5
361,52.11168,-2.32633,5
362,52.11231,-2.33009,5
363,52.11159,-2.32578,5
364,52.21169,-2.22346,5
365,52.18719,-2.23559,5
366,52.1994,-2.22439,5
367,52.19318,-2.22544,5
368,52.19338,-2.22454,5
369,52.11219,-2.32133,5
370,52.11632,-2.32677,5
371,52.11192,-2.32078,5
372,52.20202,-2.20064,5
373,52.20175,-2.20115,5
374,52.19994,-2.20106,5
375,52.25094,-2.22834,5
376,52.25479,-2.22587,5
377,52.09648,-2.34076,5
378,52.10843,-2.34485,5
379,52.22053,-2.21482,5
380,52.18174,-2.26615,5
381,52.18153,-2.26686,5
382,52.18137,-2.26676,5
383,52.18231,-2.25634,5
384,52.18353,-2.25267,5
385,52.18482,-2.24498,5
386,52.18117,-2.26056,5
387,52.1979,-2.2384,5
388,52.11993,-2.32668,5
389,52.12111,-2.33036,5
390,52.12059,-2.32978,5
391,52.17554,-2.24178,5
392,52.10863,-2.31223,5
393,52.10851,-2.30979,5
394,52.21731,-2.2514,5
395,52.21043,-2.24826,5
396,52.2111,-2.24869,5
397,52.20775,-2.24502,5
398,52.22299,-2.25421,5
399,52.20543,-2.21487,5
400,52.1292,-2.32412,5
401,52.13245,-2.30549,5
402,52.13559,-2.33098,5
403,52.11373,-2.3473,5
404,52.21055,-2.17877,5
405,52.19461,-2.17717,5
406,52.1972,-2.1812,5
407,52.20214,-2.18266,5
408,52.21078,-2.17928,5
409,52.19456,-2.17743,5
410,52.18609,-2.16444,5
411,52.18554,-2.16074,5
412,52.17103,-2.20109,5
413,52.11464,-2.30134,5
414,52.15101,-2.24328,5
415,52.1248,-2.33147,5
416,52.1298,-2.33237,5
417,52.12471,-2.33171,5
418,52.19752,-2.24706,5
419,52.20532,-2.24286,5
420,52.20295,-2.24459,5
421,52.1732,-2.23565,5
422,52.19278,-2.18218,5
423,52.19632,-2.23658,5
424,52.19136,-2.23441,5
425,52.21998,-2.22486,5
426,52.18638,-2.24009,5
427,52.18612,-2.24147,5
428,52.18619,-2.24155,5
429,52.18662,-2.2378,5
430,52.18654,-2.23702,5
431,52.16541,-2.2167,5
432,52.1968,-2.18013,5
433,52.17854,-2.23224,5
434,52.16762,-2.21521,5
435,52.21914,-2.22745,5
436,52.09355,-2.33274,5
437,52.0931,-2.32792,5
438,52.09446,-2.33166,5
439,52.0946,-2.33171,5
440,52.06987,-2.36702,5
441,52.0697,-2.36682,5
442,52.22001,-2.22502,5
443,52.13106,-2.32624,5
444,52.13116,-2.32666,5
445,52.12728,-2.32253,5
446,52.12822,-2.3143,5
447,52.2139,-2.179,5
448,52.21431,-2.17871,5
449,52.12957,-2.32383,5
450,52.18338,-2.18549,5
451,52.18415,-2.18602,5
452,52.18985,-2.25623,5
453,52.12315,-2.31192,5
454,52.19437,-2.19155,5
455,52.19017,-2.19311,5
456,52.19396,-2.19131,5
457,52.19319,-2.19187,5
458,52.19139,-2.19005,5
459,52.19179,-2.18918,5
460,52.20175,-2.17743,5
461,52.20193,-2.17683,5
462,52.17635,-2.24463,5
463,52.07911,-2.32697,5
464,52.07116,-2.33425,5
465,52.08132,-2.33222,5
466,52.07786,-2.33248,5
467,52.07526,-2.33262,5
468,52.07498,-2.33245,5
469,52.18519,-2.19537,5
470,52.18309,-2.19304,5
471,52.16842,-2.2029,5
472,52.09228,-2.3374,5
473,52.20559,-2.20774,5
474,52.2047,-2.21927,5
475,52.20447,-2.21944,5
476,52.20443,-2.22335,5
477,52.20447,-2.22405,5
478,52.2057,-2.20707,5
479,52.15605,-2.21549,5
480,52.20574,-2.19646,5
481,52.19333,-2.22478,5
482,52.21103,-2.22364,5
483,52.22787,-2.21913,5
484,52.17395,-2.23562,5
485,52.17459,-2.23462,5
486,52.18554,-2.19549,5
487,52.19099,-2.23441,5
488,52.19413,-2.23585,5
489,52.19584,-2.23663,5
490,52.22225,-2.21293,5
491,52.2167,-2.2195,5
492,52.20773,-2.20351,5
493,52.15848,-2.17843,5
494,52.17828,-2.20311,5
495,52.18197,-2.2095,5
496,52.18226,-2.21039,5
497,52.08173,-2.33248,5
498,52.08693,-2.33295,5
499,52.08669,-2.33315,5
500,52.09058,-2.33472,5
501,52.07954,-2.31168,5
502,52.17385,-2.23618,5
503,52.23001,-2.22435,5
504,52.15911,-2.19649,5
505,52.14215,-2.24376,5
506,52.20594,-2.20596,5
507,52.20644,-2.20335,5
508,52.20066,-2.20119,5
509,52.20208,-2.19916,5
510,52.20593,-2.20105,5
511,52.20564,-2.19779,5
512,52.2055,-2.19391,5
513,52.22357,-2.22278,5
514,52.15094,-2.24316,5
515,52.08367,-2.35453,5
516,52.08341,-2.35449,5
517,52.15647,-2.17436,5
518,52.17961,-2.18852,5
519,52.17365,-2.18441,5
520,52.22256,-2.22953,5
521,52.21098,-2.21568,5
522,52.19056,-2.18113,5
523,52.19165,-2.17953,5
524,52.19133,-2.18255,5
525,52.12043,-2.33365,5
526,52.17857,-2.21379,5
527,52.16073,-2.21614,5
528,52.15974,-2.24627,5
529,52.16162,-2.24736,5
530,52.15994,-2.24611,5
531,52.14392,-2.24289,5
532,52.16391,-2.24464,5
533,52.18169,-2.19473,5
534,52.09933,-2.3203,5
535,52.0978,-2.31947,5
536,52.09915,-2.32012,5
537,52.09794,-2.319,5
538,52.09812,-2.31212,5
539,52.09831,-2.31515,5
540,52.1065,-2.31709,5
541,52.17959,-2.20566,5
542,52.07965,-2.31273,5
543,52.18662,-2.24839,5
544,52.18749,-2.24329,5
545,52.15846,-2.17862,5
546,52.20915,-2.20468,5
547,52.21194,-2.21441,5
548,52.21305,-2.21855,5
549,52.21137,-2.20933,5
550,52.22174,-2.22436,5
551,52.18228,-2.20763,5
552,52.20985,-2.22472,5
553,52.18014,-2.18502,5
554,52.16405,-2.16534,5
555,52.17423,-2.21284,5
556,52.20066,-2.21076,5
557,52.20296,-2.20841,5
558,52.19817,-2.21306,5
559,52.21124,-2.19885,5
560,52.20654,-2.2048,5
561,52.20887,-2.20171,5
562,52.10431,-2.30341,5
563,52.10269,-2.30347,5
564,52.10091,-2.30429,5
565,52.10075,-2.30426,5
566,52.10007,-2.3055,5
567,52.1005,-2.3054,5
568,52.09947,-2.30897,5
569,52.09948,-2.30866,5
570,52.09621,-2.32574,5
571,52.06657,-2.32466,5
572,52.09608,-2.32568,5
573,52.09204,-2.33054,5
574,52.18352,-2.15308,5
575,52.20841,-2.17351,5
576,52.2292,-2.20076,5
577,52.1142,-2.30872,5
578,52.21324,-2.22641,5
579,52.21283,-2.22667,5
580,52.08213,-2.35599,5
581,52.22793,-2.21931,5
582,52.18832,-2.23849,5
583,52.19302,-2.22554,5
584,52.20534,-2.24795,5
585,52.20084,-2.24518,5
586,52.13568,-2.21541,5
587,52.12149,-2.34514,5
588,52.11755,-2.32849,5
589,52.11428,-2.34783,5
590,52.1174,-2.34605,5
591,52.11785,-2.34523,5
592,52.1209,-2.34533,5
593,52.09245,-2.33756,5
594,52.09682,-2.34066,5
595,52.10815,-2.34438,5
596,52.10682,-2.30089,5
597,52.09954,-2.30741,5
598,52.09969,-2.30734,5
599,52.10429,-2.30318,5
600,52.10545,-2.30228,5
601,52.09799,-2.31203,5
602,52.21207,-2.20019,5
603,52.19541,-2.24298,5
604,52.22383,-2.21039,5
605,52.2272,-2.20288,5
606,52.22791,-2.20083,5
607,52.22268,-2.21189,5
608,52.20547,-2.22735,5
609,52.20557,-2.22711,5
610,52.19287,-2.25142,5
611,52.19049,-2.25147,5
612,52.19372,-2.25764,5
613,52.18689,-2.25439,5
614,52.18669,-2.2545,5
615,52.19433,-2.25428,5
616,52.18977,-2.25597,5
617,52.19854,-2.19945,5
618,52.19918,-2.23822,5
619,52.19468,-2.24243,5
620,52.18881,-2.23847,5
621,52.1419,-2.2437,5
