ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
3,4,2,2,5,3.041
3,4,2,2,5,3.041
3,4,2,2,5,3.041
3,4,2,2,5,3.041
3,12,2,2,7,2.685
3,12,2,2,7,2.685
3,12,2,2,7,2.685
3,12,2,2,7,2.685
4,3,2,2,4,3.041
4,3,2,2,4,3.041
4,3,2,2,4,3.041
4,3,2,2,4,3.041
4,8,2,2,2,1.013
4,8,2,2,2,1.013
4,8,2,2,2,1.013
4,8,2,2,2,1.013
6,8,2,2,2,1.087
6,8,2,2,2,1.087
6,8,2,2,2,1.087
6,8,2,2,2,1.087
6,851,2,2,4,3.096
6,851,2,2,4,3.096
7,9,2,2,6,6.186
7,9,2,2,6,6.186
7,9,2,2,6,6.186
7,9,2,2,6,6.186
7,9,2,2,6,6.186
7,9,2,2,6,6.186
8,4,2,2,2,1.013
8,4,2,2,2,1.013
8,4,2,2,2,1.013
8,4,2,2,2,1.013
8,6,2,2,2,1.087
8,6,2,2,2,1.087
8,6,2,2,2,1.087
8,6,2,2,2,1.087
9,7,2,2,5,6.186
9,7,2,2,5,6.186
9,7,2,2,5,6.186
9,7,2,2,5,6.186
9,7,2,2,5,6.186
9,7,2,2,5,6.186
9,12,2,2,5,7.514
9,12,2,2,5,7.514
9,12,2,2,5,7.514
9,12,2,2,5,7.514
9,12,2,2,5,7.514
9,12,2,2,5,7.514
10,12,2,2,2,0.502
10,12,2,2,2,0.502
10,12,2,2,2,0.502
10,12,2,2,2,0.502
10,12,2,2,2,0.502
10,12,2,2,2,0.502
12,3,2,2,4,2.685
12,3,2,2,4,2.685
12,3,2,2,4,2.685
12,3,2,2,4,2.685
12,7,2,2,12,13.674
12,7,2,2,12,13.674
12,7,2,2,12,13.674
12,7,2,2,12,13.674
12,9,2,2,6,7.514
12,9,2,2,6,7.514
12,9,2,2,6,7.514
12,9,2,2,6,7.514
12,9,2,2,6,7.514
12,9,2,2,6,7.514
12,10,2,2,3,0.502
12,10,2,2,3,0.502
12,10,2,2,3,0.502
12,10,2,2,3,0.502
12,10,2,2,3,0.502
12,10,2,2,3,0.502
851,6,2,2,4,3.096
851,6,2,2,4,3.096
1,5,4,4,5,3.921
1,5,4,4,5,3.921
