nodeid,lat,lon,layer
1,52.93212,-3.05657,4
1,52.93212,-3.05657,5
2,52.98472,-3.06259,4
2,52.98472,-3.06259,5
3,53.07259,-3.0179,5
3,53.07259,-3.0179,2
4,53.09882,-3.03106,2
4,53.09882,-3.03106,5
5,52.96314,-3.08462,4
5,52.96314,-3.08462,5
6,53.11738,-3.03689,2
6,53.11738,-3.03689,5
7,52.9331,-3.06566,2
7,52.9331,-3.06566,5
8,53.10788,-3.03292,2
8,53.10788,-3.03292,5
9,52.98715,-3.04315,4
9,52.98715,-3.04315,2
9,52.98715,-3.04315,5
10,53.04621,-2.99906,4
10,53.04621,-2.99906,2
10,53.04621,-2.99906,5
11,53.00956,-3.04311,4
11,53.00956,-3.04311,5
12,53.05025,-3.00245,5
12,53.05025,-3.00245,2
13,52.92825,-3.05753,5
14,52.93356,-3.05606,5
15,53.0441,-3.01894,5
16,52.99433,-3.03483,5
17,52.99314,-3.03523,5
18,52.9755,-3.06765,5
19,52.98203,-3.07185,5
20,52.9913,-3.03331,5
21,53.16084,-3.1391,5
22,53.13868,-3.11167,5
23,53.13937,-3.10161,5
24,53.15117,-3.12189,5
25,53.14358,-3.11924,5
26,53.15136,-3.12206,5
27,53.15689,-3.13101,5
28,53.15062,-3.11165,5
29,53.14505,-3.04439,5
30,53.05621,-2.96611,5
31,53.07612,-3.06012,5
32,53.07708,-3.05082,5
33,53.07008,-3.04621,5
34,53.06815,-3.04488,5
35,53.06289,-3.04861,5
36,53.06386,-3.05297,5
37,52.94515,-3.05896,5
38,52.93519,-3.04991,5
39,52.93598,-3.05019,5
40,52.93396,-3.05379,5
41,52.93524,-3.05001,5
42,52.94407,-3.05549,5
43,52.93914,-3.05396,5
44,52.94374,-3.0595,5
45,53.06915,-3.00477,5
46,53.06698,-3.00192,5
47,53.06353,-2.99991,5
48,53.08989,-3.02915,5
49,53.07189,-3.014,5
50,53.07005,-3.00918,5
51,53.06081,-3.0013,5
52,53.05752,-3.00046,5
53,52.93494,-3.05715,5
54,53.11844,-3.03143,5
55,53.05091,-2.97506,5
56,53.05647,-2.98889,5
57,53.09647,-2.9881,5
58,53.09729,-2.99103,5
59,53.04865,-2.96612,5
60,53.07711,-3.05724,5
61,53.07575,-3.0585,5
62,53.07799,-3.05836,5
63,53.03887,-2.96595,5
64,53.03643,-2.967,5
65,52.96871,-3.06279,5
66,52.96749,-3.06713,5
67,52.9618,-3.05899,5
68,52.96518,-3.05666,5
69,52.95702,-3.06706,5
70,52.95598,-3.06696,5
71,52.95699,-3.0691,5
72,53.06724,-2.99136,5
73,53.06254,-2.99508,5
74,53.01124,-3.05643,5
75,53.13368,-3.09457,5
76,53.16676,-3.08596,5
77,53.1665,-3.09379,5
78,53.05154,-2.97053,5
79,53.05122,-2.96819,5
80,53.0523,-2.97526,5
81,53.04962,-2.98448,5
82,53.05394,-2.96852,5
83,53.05442,-2.96984,5
84,53.12635,-3.09032,5
85,53.12553,-3.03493,5
86,53.13684,-3.09751,5
87,53.00174,-3.06188,5
88,53.01009,-3.05518,5
89,53.00796,-3.05701,5
90,52.99989,-3.05891,5
91,53.03825,-2.9892,5
92,53.07854,-3.02889,5
93,52.91382,-3.06695,5
94,52.91388,-3.06667,5
95,53.09538,-2.99612,5
96,53.08998,-2.99513,5
97,53.07703,-3.00364,5
98,52.97502,-3.06974,5
99,52.97337,-3.07577,5
100,52.97271,-3.07299,5
101,52.98016,-3.07584,5
102,52.97845,-3.07529,5
103,52.97,-3.07131,5
104,52.97094,-3.07149,5
105,52.97433,-3.06712,5
106,52.97026,-3.06815,5
107,53.16227,-3.0825,5
108,53.16419,-3.08783,5
109,53.05051,-2.97198,5
110,53.05474,-2.97615,5
111,53.05343,-2.97806,5
112,53.05551,-2.97102,5
113,53.0724,-3.09838,5
114,53.06216,-2.99002,5
115,53.1513,-3.1221,5
116,53.14319,-3.04425,5
117,53.16301,-3.13921,5
118,53.16031,-3.13733,5
119,53.06001,-2.96205,5
120,53.05599,-2.97925,5
121,53.05695,-2.9853,5
122,53.03623,-2.9777,5
123,52.91622,-3.05861,5
124,52.97555,-3.06765,5
125,53.04187,-3.00939,5
126,53.04274,-3.0089,5
127,53.03965,-3.0122,5
128,53.05312,-3.01034,5
129,53.10855,-3.0385,5
130,53.1039,-3.03475,5
131,53.1074,-2.94002,5
132,53.0723,-2.99308,5
133,53.10381,-2.93004,5
134,53.02805,-3.02797,5
135,53.01442,-3.04154,5
136,53.01731,-3.04084,5
137,53.02076,-3.03895,5
138,53.00092,-3.04168,5
139,53.00426,-3.04343,5
140,53.0071,-3.04348,5
141,52.99046,-3.03718,5
142,53.04595,-2.98839,5
143,53.0325,-2.99272,5
144,53.03752,-2.99665,5
145,53.07073,-2.98972,5
146,53.04431,-2.98012,5
147,53.06348,-3.05408,5
148,53.07148,-3.04652,5
149,53.02382,-2.95969,5
150,53.1073,-2.94007,5
151,53.10377,-2.93015,5
152,53.02484,-2.96384,5
153,53.02424,-2.96183,5
154,53.02546,-2.96584,5
155,53.02347,-2.96277,5
156,53.16903,-3.10539,5
157,53.1709,-3.10502,5
158,53.16667,-3.10778,5
159,53.16765,-3.10775,5
160,53.17114,-3.11131,5
161,53.14923,-3.04289,5
162,53.0357,-2.98323,5
163,53.03639,-2.98197,5
164,53.05191,-2.99281,5
